Metric,Value
config_name,mal_add_60pct_notrust
run_id,9
total_steps,7000
recorded_steps,5000
wall_time_seconds,457.5603492259979
avg_cav_amota,0.994418813609712
avg_cis_amota,0.9902888260600221
avg_global_amota,0.46819067552895566
cav_total_mse_violations_gt,66521
cav_total_mse_violations_sensor,66510
cav_total_ttc_violations_gt,21127
cav_total_ttc_violations_sensor,18700
cav_true_positives_mse,66493
cav_false_positives_mse,17
cav_false_negatives_mse,28
cav_true_positives_ttc,16560
cav_false_positives_ttc,2140
cav_false_negatives_ttc,4567
cav_amota,26092.55525030523
cav_total_mse_violations_gt_av,5233
cav_total_mse_violations_gt_non_av,61288
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,66510
cav_total_ttc_violations_gt_av,1799
cav_total_ttc_violations_gt_non_av,19328
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,18700
cis_total_mse_violations_gt,25213
cis_total_mse_violations_sensor,25221
cis_total_ttc_violations_gt,1834
cis_total_ttc_violations_sensor,1840
cis_true_positives_mse,25197
cis_false_positives_mse,24
cis_false_negatives_mse,16
cis_true_positives_ttc,1799
cis_false_positives_ttc,41
cis_false_negatives_ttc,35
cis_amota,4940.55095321345
cis_total_mse_violations_gt_av,2497
cis_total_mse_violations_gt_non_av,22716
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25221
cis_total_ttc_violations_gt_av,225
cis_total_ttc_violations_gt_non_av,1609
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1840
global_total_mse_violations_gt,845934
global_total_mse_violations_sensor,1014326
global_total_ttc_violations_gt,324079
global_total_ttc_violations_sensor,405044
global_true_positives_mse,823313
global_false_positives_mse,191013
global_false_negatives_mse,22621
global_true_positives_ttc,300455
global_false_positives_ttc,104589
global_false_negatives_ttc,23624
global_amota,2288.516021985535
global_total_mse_violations_gt_av,75915
global_total_mse_violations_gt_non_av,770019
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1014326
global_total_ttc_violations_gt_av,28438
global_total_ttc_violations_gt_non_av,295641
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,405044
