Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std)
baseline,1,0.5719,0.0000,0.9953,0.0000,0.9992,0.0000
extrinsics_1pct,1,0.6584,0.0000,0.9978,0.0000,0.9937,0.0000
extrinsics_2pct,1,0.6355,0.0000,0.9981,0.0000,0.0000,0.0000
extrinsics_3pct,1,0.6382,0.0000,0.9915,0.0000,0.9848,0.0000
extrinsics_4pct,1,0.6389,0.0000,0.9965,0.0000,0.9930,0.0000
extrinsics_5pct,1,0.6275,0.0000,0.9916,0.0000,0.0000,0.0000
extrinsics_6pct,1,0.6878,0.0000,0.9934,0.0000,0.9956,0.0000
extrinsics_7pct,1,0.6701,0.0000,0.9937,0.0000,0.9811,0.0000
extrinsics_8pct,1,0.6352,0.0000,0.9960,0.0000,1.0000,0.0000
extrinsics_9pct,1,0.6043,0.0000,0.9954,0.0000,0.9910,0.0000
extrinsics_10pct,1,0.5171,0.0000,0.9980,0.0000,0.9940,0.0000
localization_1pct,1,0.6516,0.0000,0.9959,0.0000,0.9971,0.0000
localization_2pct,1,0.6051,0.0000,0.9961,0.0000,0.9954,0.0000
localization_3pct,1,0.6019,0.0000,0.9984,0.0000,0.9954,0.0000
localization_4pct,1,0.5948,0.0000,0.9951,0.0000,0.0000,0.0000
localization_5pct,1,0.5429,0.0000,1.0000,0.0000,0.9891,0.0000
localization_6pct,1,0.6468,0.0000,0.9932,0.0000,0.9968,0.0000
localization_7pct,1,0.6620,0.0000,0.9903,0.0000,0.9860,0.0000
localization_8pct,1,0.5656,0.0000,0.9967,0.0000,0.9969,0.0000
localization_9pct,1,0.6139,0.0000,0.9920,0.0000,0.0000,0.0000
localization_10pct,1,0.6152,0.0000,0.9987,0.0000,0.9898,0.0000
mal_remove_1pct,1,0.6212,0.0000,0.9962,0.0000,0.0000,0.0000
mal_remove_2pct,1,0.6016,0.0000,0.9902,0.0000,0.0000,0.0000
mal_remove_3pct,1,0.6522,0.0000,0.9890,0.0000,0.9890,0.0000
mal_remove_4pct,1,0.6327,0.0000,0.9967,0.0000,0.9932,0.0000
mal_remove_5pct,1,0.5867,0.0000,0.9936,0.0000,0.9890,0.0000
mal_remove_6pct,1,0.6013,0.0000,0.9968,0.0000,0.0000,0.0000
mal_remove_7pct,1,0.5848,0.0000,0.9928,0.0000,0.9944,0.0000
mal_remove_8pct,1,0.6931,0.0000,0.9974,0.0000,0.9929,0.0000
mal_remove_9pct,1,0.6360,0.0000,0.9891,0.0000,0.0000,0.0000
mal_remove_10pct,1,0.6731,0.0000,0.9936,0.0000,0.9831,0.0000
mal_add_1pct,1,0.5678,0.0000,0.9924,0.0000,0.9906,0.0000
mal_add_2pct,1,0.6125,0.0000,0.9969,0.0000,0.9982,0.0000
mal_add_3pct,1,0.6131,0.0000,0.9888,0.0000,0.0000,0.0000
mal_add_4pct,1,0.6292,0.0000,0.9868,0.0000,0.9886,0.0000
mal_add_5pct,1,0.6158,0.0000,0.9905,0.0000,0.0000,0.0000
mal_add_6pct,1,0.6264,0.0000,0.9973,0.0000,1.0000,0.0000
mal_add_7pct,1,0.6321,0.0000,0.9928,0.0000,0.0000,0.0000
mal_add_8pct,1,0.5972,0.0000,0.9953,0.0000,0.0000,0.0000
mal_add_9pct,1,0.6158,0.0000,0.9967,0.0000,0.0000,0.0000
mal_add_10pct,1,0.5454,0.0000,0.9909,0.0000,0.9972,0.0000
mal_convoy_1pct,1,0.6382,0.0000,0.9903,0.0000,1.0000,0.0000
mal_convoy_2pct,1,0.6410,0.0000,0.9921,0.0000,0.9722,0.0000
mal_convoy_3pct,1,0.6273,0.0000,0.9974,0.0000,0.9927,0.0000
mal_convoy_4pct,1,0.5977,0.0000,0.9966,0.0000,0.0000,0.0000
mal_convoy_5pct,1,0.5744,0.0000,0.9981,0.0000,0.9980,0.0000
mal_convoy_6pct,1,0.5922,0.0000,0.9922,0.0000,0.0000,0.0000
mal_convoy_7pct,1,0.6603,0.0000,0.9972,0.0000,0.9960,0.0000
mal_convoy_8pct,1,0.5984,0.0000,0.9899,0.0000,0.0000,0.0000
mal_convoy_9pct,1,0.5576,0.0000,0.9894,0.0000,0.9937,0.0000
mal_convoy_10pct,1,0.6419,0.0000,0.9978,0.0000,0.0000,0.0000
