Metric,Value
config_name,extrinsics_8deg_trust
run_id,10
total_steps,7000
recorded_steps,5000
wall_time_seconds,433.5913362503052
avg_cav_amota,0.9820167853727306
avg_cis_amota,0.9897329233788607
avg_global_amota,0.38645323913016527
cav_total_mse_violations_gt,55190
cav_total_mse_violations_sensor,55205
cav_total_ttc_violations_gt,20412
cav_total_ttc_violations_sensor,16546
cav_true_positives_mse,55143
cav_false_positives_mse,62
cav_false_negatives_mse,47
cav_true_positives_ttc,14094
cav_false_positives_ttc,2452
cav_false_negatives_ttc,6318
cav_amota,22802.429756354806
cav_total_mse_violations_gt_av,3684
cav_total_mse_violations_gt_non_av,51506
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,55205
cav_total_ttc_violations_gt_av,1506
cav_total_ttc_violations_gt_non_av,18906
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,16546
cis_total_mse_violations_gt,24608
cis_total_mse_violations_sensor,24608
cis_total_ttc_violations_gt,1756
cis_total_ttc_violations_sensor,1769
cis_true_positives_mse,24590
cis_false_positives_mse,18
cis_false_negatives_mse,18
cis_true_positives_ttc,1732
cis_false_positives_ttc,37
cis_false_negatives_ttc,24
cis_amota,4933.81862304362
cis_total_mse_violations_gt_av,2038
cis_total_mse_violations_gt_non_av,22570
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24608
cis_total_ttc_violations_gt_av,126
cis_total_ttc_violations_gt_non_av,1630
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1769
global_total_mse_violations_gt,667214
global_total_mse_violations_sensor,830139
global_total_ttc_violations_gt,259506
global_total_ttc_violations_sensor,327079
global_true_positives_mse,648521
global_false_positives_mse,181618
global_false_negatives_mse,18693
global_true_positives_ttc,237930
global_false_positives_ttc,89149
global_false_negatives_ttc,21576
global_amota,1899.8041235638925
global_total_mse_violations_gt_av,46904
global_total_mse_violations_gt_non_av,620310
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,830139
global_total_ttc_violations_gt_av,20434
global_total_ttc_violations_gt_non_av,239072
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,327079
