Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,1,0.5384,0.0000,0.9909,0.0000,0.9913,0.0000,0.00,0.00,0
extrinsics_10pct,1,0.5081,0.0000,0.9907,0.0000,0.9939,0.0000,0.00,0.00,0
localization_10pct,1,0.5808,0.0000,0.9918,0.0000,0.9904,0.0000,0.00,0.00,0
mal_remove_10pct,1,0.4881,0.0000,0.9904,0.0000,0.9934,0.0000,0.00,0.00,0
mal_add_10pct,1,0.4962,0.0000,0.9886,0.0000,0.9935,0.0000,0.00,0.00,0
mal_convoy_10pct,1,0.4654,0.0000,0.9879,0.0000,0.9930,0.0000,0.00,0.00,0
