Metric,Value
config_name,extrinsics_7deg_notrust
run_id,7
total_steps,7000
recorded_steps,5000
wall_time_seconds,431.5353310108185
avg_cav_amota,0.9789080846412843
avg_cis_amota,0.9905536609253303
avg_global_amota,0.44628489929274046
cav_total_mse_violations_gt,60155
cav_total_mse_violations_sensor,59950
cav_total_ttc_violations_gt,19323
cav_total_ttc_violations_sensor,17178
cav_true_positives_mse,59888
cav_false_positives_mse,62
cav_false_negatives_mse,267
cav_true_positives_ttc,15174
cav_false_positives_ttc,2004
cav_false_negatives_ttc,4149
cav_amota,22623.54474414472
cav_total_mse_violations_gt_av,5203
cav_total_mse_violations_gt_non_av,54952
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,59950
cav_total_ttc_violations_gt_av,1684
cav_total_ttc_violations_gt_non_av,17639
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,17178
cis_total_mse_violations_gt,26130
cis_total_mse_violations_sensor,26122
cis_total_ttc_violations_gt,1826
cis_total_ttc_violations_sensor,1848
cis_true_positives_mse,26107
cis_false_positives_mse,15
cis_false_negatives_mse,23
cis_true_positives_ttc,1803
cis_false_positives_ttc,45
cis_false_negatives_ttc,23
cis_amota,4943.8533216783235
cis_total_mse_violations_gt_av,2230
cis_total_mse_violations_gt_non_av,23900
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,26122
cis_total_ttc_violations_gt_av,218
cis_total_ttc_violations_gt_non_av,1608
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1848
global_total_mse_violations_gt,731637
global_total_mse_violations_sensor,924265
global_total_ttc_violations_gt,285006
global_total_ttc_violations_sensor,362199
global_true_positives_mse,712327
global_false_positives_mse,211938
global_false_negatives_mse,19310
global_true_positives_ttc,262492
global_false_positives_ttc,99707
global_false_negatives_ttc,22514
global_amota,2210.4491061969434
global_total_mse_violations_gt_av,61284
global_total_mse_violations_gt_non_av,670353
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,924265
global_total_ttc_violations_gt_av,24188
global_total_ttc_violations_gt_non_av,260818
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,362199
