Metric,Value
config_name,localization_30pct
run_id,10
total_steps,2500
recorded_steps,2000
wall_time_seconds,46.65431809425354
avg_cav_amota,0.9926740620490625
avg_cis_amota,0.9893680534044721
avg_global_amota,0.47082234317396554
cav_total_mse_violations_gt,8495
cav_total_mse_violations_sensor,8494
cav_total_ttc_violations_gt,2341
cav_total_ttc_violations_sensor,2383
cav_true_positives_mse,8492
cav_false_positives_mse,2
cav_false_negatives_mse,3
cav_true_positives_ttc,2008
cav_false_positives_ttc,375
cav_false_negatives_ttc,333
cav_amota,4804.542460317462
cav_total_mse_violations_gt_av,1951
cav_total_mse_violations_gt_non_av,6544
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,8494
cav_total_ttc_violations_gt_av,116
cav_total_ttc_violations_gt_non_av,2225
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2383
cis_total_mse_violations_gt,7515
cis_total_mse_violations_sensor,7514
cis_total_ttc_violations_gt,571
cis_total_ttc_violations_sensor,578
cis_true_positives_mse,7512
cis_false_positives_mse,2
cis_false_negatives_mse,3
cis_true_positives_ttc,557
cis_false_positives_ttc,21
cis_false_negatives_ttc,14
cis_amota,1955.9806415806413
cis_total_mse_violations_gt_av,680
cis_total_mse_violations_gt_non_av,6835
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7514
cis_total_ttc_violations_gt_av,80
cis_total_ttc_violations_gt_non_av,491
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,578
global_total_mse_violations_gt,70545
global_total_mse_violations_sensor,89224
global_total_ttc_violations_gt,25434
global_total_ttc_violations_sensor,36637
global_true_positives_mse,66712
global_false_positives_mse,22512
global_false_negatives_mse,3833
global_true_positives_ttc,22764
global_false_positives_ttc,13873
global_false_negatives_ttc,2670
global_amota,918.1035691892328
global_total_mse_violations_gt_av,11997
global_total_mse_violations_gt_non_av,58548
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,89224
global_total_ttc_violations_gt_av,3499
global_total_ttc_violations_gt_non_av,21935
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,36637
