Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std)
baseline,1,0.6442,0.0000,0.9948,0.0000,0.9947,0.0000
extrinsics_1pct,1,0.6340,0.0000,0.9945,0.0000,0.0000,0.0000
extrinsics_2pct,1,0.5987,0.0000,0.9970,0.0000,0.9940,0.0000
extrinsics_3pct,1,0.6440,0.0000,0.9967,0.0000,1.0000,0.0000
extrinsics_4pct,1,0.6639,0.0000,0.9881,0.0000,0.9926,0.0000
extrinsics_5pct,1,0.6617,0.0000,0.9901,0.0000,0.9915,0.0000
extrinsics_6pct,1,0.6034,0.0000,0.9922,0.0000,0.0000,0.0000
extrinsics_7pct,1,0.6736,0.0000,0.9942,0.0000,0.9920,0.0000
extrinsics_8pct,1,0.6225,0.0000,0.9968,0.0000,1.0000,0.0000
extrinsics_9pct,1,0.6234,0.0000,0.9936,0.0000,0.0000,0.0000
extrinsics_10pct,1,0.5562,0.0000,0.9966,0.0000,0.9939,0.0000
localization_1pct,1,0.6576,0.0000,0.9963,0.0000,1.0000,0.0000
localization_2pct,1,0.6289,0.0000,0.9930,0.0000,0.9697,0.0000
localization_3pct,1,0.6422,0.0000,0.9901,0.0000,0.9914,0.0000
localization_4pct,1,0.6633,0.0000,0.9960,0.0000,0.9923,0.0000
localization_5pct,1,0.6132,0.0000,0.9956,0.0000,0.0000,0.0000
localization_6pct,1,0.5547,0.0000,0.9940,0.0000,0.9977,0.0000
localization_7pct,1,0.6126,0.0000,0.9964,0.0000,0.0000,0.0000
localization_8pct,1,0.5373,0.0000,0.9940,0.0000,0.9957,0.0000
localization_9pct,1,0.6011,0.0000,0.9888,0.0000,0.9919,0.0000
localization_10pct,1,0.6174,0.0000,0.9919,0.0000,0.0000,0.0000
mal_remove_1pct,1,0.6372,0.0000,0.9894,0.0000,1.0000,0.0000
mal_remove_2pct,1,0.6320,0.0000,0.9966,0.0000,0.9971,0.0000
mal_remove_3pct,1,0.5982,0.0000,0.9892,0.0000,1.0000,0.0000
mal_remove_4pct,1,0.5953,0.0000,0.9843,0.0000,0.0000,0.0000
mal_remove_5pct,1,0.6027,0.0000,0.9939,0.0000,0.9937,0.0000
mal_remove_6pct,1,0.6182,0.0000,0.9928,0.0000,0.0000,0.0000
mal_remove_7pct,1,0.6311,0.0000,0.9921,0.0000,0.9735,0.0000
mal_remove_8pct,1,0.6274,0.0000,0.9902,0.0000,1.0000,0.0000
mal_remove_9pct,1,0.6857,0.0000,0.9974,0.0000,0.9956,0.0000
mal_remove_10pct,1,0.6711,0.0000,0.9920,0.0000,0.9971,0.0000
mal_add_1pct,1,0.6040,0.0000,0.9951,0.0000,0.0000,0.0000
mal_add_2pct,1,0.6173,0.0000,0.9954,0.0000,0.0000,0.0000
mal_add_3pct,1,0.6210,0.0000,0.9960,0.0000,0.9855,0.0000
mal_add_4pct,1,0.5954,0.0000,0.9937,0.0000,0.0000,0.0000
mal_add_5pct,1,0.6277,0.0000,0.9971,0.0000,0.9954,0.0000
mal_add_6pct,1,0.6333,0.0000,0.9968,0.0000,0.0000,0.0000
mal_add_7pct,1,0.5552,0.0000,0.9987,0.0000,0.9978,0.0000
mal_add_8pct,1,0.6213,0.0000,0.9968,0.0000,0.0000,0.0000
mal_add_9pct,1,0.5961,0.0000,0.9950,0.0000,1.0000,0.0000
mal_add_10pct,1,0.6130,0.0000,0.9931,0.0000,0.9972,0.0000
mal_convoy_1pct,1,0.5374,0.0000,0.9897,0.0000,1.0000,0.0000
mal_convoy_2pct,1,0.6125,0.0000,0.9959,0.0000,0.9869,0.0000
mal_convoy_3pct,1,0.6564,0.0000,0.9947,0.0000,0.9985,0.0000
mal_convoy_4pct,1,0.6206,0.0000,0.9954,0.0000,0.0000,0.0000
mal_convoy_5pct,1,0.6179,0.0000,0.9882,0.0000,0.9900,0.0000
mal_convoy_6pct,1,0.6463,0.0000,0.9967,0.0000,0.0000,0.0000
mal_convoy_7pct,1,0.5469,0.0000,0.9966,0.0000,0.9914,0.0000
mal_convoy_8pct,1,0.5926,0.0000,0.9940,0.0000,0.0000,0.0000
mal_convoy_9pct,1,0.6160,0.0000,0.9968,0.0000,0.0000,0.0000
mal_convoy_10pct,1,0.6373,0.0000,0.9944,0.0000,0.9939,0.0000
