Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,8,0.4550,0.0270,0.9905,0.0006,0.9941,0.0006,9.38,14.12,75
baseline_notrust,10,0.4653,0.0354,0.9907,0.0005,0.9940,0.0004,5.00,3.65,50
extrinsics_5deg_trust,8,0.4463,0.0342,0.9908,0.0008,0.9901,0.0045,4.75,3.99,38
extrinsics_5deg_notrust,10,0.4321,0.0250,0.9909,0.0004,0.9813,0.0119,6.50,4.28,65
localization_50pct_trust,7,0.4415,0.0293,0.9908,0.0003,0.9775,0.0122,7.71,4.61,54
localization_50pct_notrust,10,0.4260,0.0380,0.9907,0.0011,0.9830,0.0072,4.80,3.55,48
mal_remove_50pct_trust,9,0.4658,0.0554,0.9909,0.0005,0.9940,0.0008,3.89,3.14,35
mal_remove_50pct_notrust,10,0.4589,0.0369,0.9907,0.0003,0.9941,0.0006,3.60,2.76,36
mal_add_50pct_trust,8,0.4705,0.0249,0.9909,0.0006,0.9939,0.0004,4.00,2.07,32
mal_add_50pct_notrust,10,0.4527,0.0292,0.9908,0.0006,0.9943,0.0009,4.10,3.00,41
mal_convoy_50pct_trust,8,0.4429,0.0234,0.9909,0.0007,0.9943,0.0008,6.62,4.60,53
mal_convoy_50pct_notrust,10,0.4653,0.0161,0.9905,0.0007,0.9938,0.0004,4.20,3.12,42
