Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,1,0.6386,0.0000,0.9909,0.0000,0.0000,0.0000,0.00,0.00,0
baseline_notrust,1,0.7439,0.0000,0.9822,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_trust,1,0.7039,0.0000,0.9966,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_notrust,1,0.6846,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
localization_50pct_trust,1,0.7167,0.0000,0.9962,0.0000,0.0000,0.0000,0.00,0.00,0
localization_50pct_notrust,1,0.6800,0.0000,0.9978,0.0000,0.0000,0.0000,0.00,0.00,0
mal_remove_50pct_trust,1,0.7093,0.0000,0.9902,0.0000,0.0000,0.0000,0.00,0.00,0
mal_remove_50pct_notrust,1,0.7110,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
mal_add_50pct_trust,1,0.6573,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
mal_add_50pct_notrust,1,0.6325,0.0000,0.9898,0.0000,0.9806,0.0000,0.00,0.00,0
mal_convoy_50pct_trust,1,0.6411,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
mal_convoy_50pct_notrust,1,0.6581,0.0000,0.9966,0.0000,0.0000,0.0000,0.00,0.00,0
