Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.4629,0.0298,0.9908,0.0006,0.9938,0.0006,9.80,5.09,98
baseline_notrust,10,0.4546,0.0459,0.9907,0.0004,0.9943,0.0006,3.20,3.22,32
extrinsics_1deg_trust,10,0.4281,0.0395,0.9907,0.0007,0.9886,0.0057,7.40,4.33,74
extrinsics_1deg_notrust,10,0.4440,0.0183,0.9908,0.0005,0.9893,0.0058,3.70,2.50,37
extrinsics_2deg_trust,10,0.4554,0.0350,0.9909,0.0006,0.9867,0.0098,10.30,6.82,103
extrinsics_2deg_notrust,10,0.4518,0.0364,0.9908,0.0008,0.9856,0.0127,4.70,3.56,47
extrinsics_3deg_trust,10,0.4594,0.0331,0.9910,0.0004,0.9812,0.0175,7.70,5.81,77
extrinsics_3deg_notrust,10,0.4370,0.0221,0.9910,0.0005,0.9828,0.0094,6.20,4.05,62
extrinsics_4deg_trust,10,0.4425,0.0315,0.9907,0.0004,0.9832,0.0081,7.40,5.58,74
extrinsics_4deg_notrust,10,0.4284,0.0382,0.9904,0.0006,0.9723,0.0160,4.90,3.14,49
extrinsics_5deg_trust,10,0.4371,0.0346,0.9908,0.0005,0.9810,0.0086,6.90,4.68,69
extrinsics_5deg_notrust,10,0.4218,0.0253,0.9907,0.0004,0.9851,0.0133,5.00,3.50,50
extrinsics_6deg_trust,10,0.4558,0.0325,0.9907,0.0006,0.9888,0.0053,8.70,6.73,87
extrinsics_6deg_notrust,10,0.4582,0.0346,0.9909,0.0003,0.9834,0.0095,6.10,3.73,61
extrinsics_7deg_trust,10,0.4348,0.0342,0.9908,0.0006,0.9841,0.0100,8.50,2.88,85
extrinsics_7deg_notrust,10,0.4536,0.0191,0.9906,0.0005,0.9824,0.0114,6.20,4.37,62
extrinsics_8deg_trust,10,0.4250,0.0332,0.9907,0.0006,0.9862,0.0089,5.50,3.47,55
extrinsics_8deg_notrust,10,0.4462,0.0391,0.9905,0.0006,0.9852,0.0087,3.70,3.09,37
extrinsics_9deg_trust,10,0.4416,0.0452,0.9905,0.0006,0.9897,0.0048,5.60,3.86,56
extrinsics_9deg_notrust,10,0.4327,0.0256,0.9905,0.0005,0.9889,0.0050,5.50,2.42,55
extrinsics_10deg_trust,10,0.4533,0.0332,0.9905,0.0004,0.9893,0.0059,5.50,3.98,55
extrinsics_10deg_notrust,10,0.4406,0.0374,0.9906,0.0005,0.9834,0.0077,4.50,3.17,45
localization_10pct_trust,10,0.4311,0.0373,0.9909,0.0006,0.9854,0.0088,7.70,3.43,77
localization_10pct_notrust,10,0.4458,0.0309,0.9907,0.0005,0.9885,0.0063,4.70,2.98,47
localization_20pct_trust,10,0.4403,0.0240,0.9909,0.0006,0.9812,0.0117,9.10,4.15,91
localization_20pct_notrust,10,0.4508,0.0335,0.9903,0.0005,0.9891,0.0068,6.70,4.30,67
localization_30pct_trust,10,0.4301,0.0284,0.9906,0.0005,0.9726,0.0163,10.40,5.50,104
localization_30pct_notrust,10,0.4240,0.0505,0.9907,0.0007,0.9797,0.0099,6.60,4.97,66
localization_40pct_trust,10,0.4501,0.0468,0.9906,0.0007,0.9824,0.0104,7.60,4.20,76
localization_40pct_notrust,10,0.4543,0.0417,0.9907,0.0004,0.9685,0.0214,7.20,4.89,72
localization_50pct_trust,10,0.4319,0.0299,0.9904,0.0009,0.9807,0.0122,6.60,3.86,66
localization_50pct_notrust,10,0.4406,0.0346,0.9908,0.0005,0.9755,0.0178,5.20,2.78,52
localization_60pct_trust,10,0.4301,0.0402,0.9911,0.0006,0.9789,0.0081,8.20,3.26,82
localization_60pct_notrust,10,0.4326,0.0308,0.9907,0.0005,0.9836,0.0122,5.60,3.41,56
localization_70pct_trust,10,0.4391,0.0595,0.9908,0.0004,0.9828,0.0101,5.90,5.11,59
localization_70pct_notrust,10,0.4735,0.0320,0.9909,0.0007,0.9863,0.0064,6.00,3.40,60
localization_80pct_trust,10,0.4277,0.0494,0.9906,0.0008,0.9837,0.0177,6.30,4.81,63
localization_80pct_notrust,10,0.4450,0.0458,0.9906,0.0005,0.9884,0.0040,4.20,4.83,42
localization_90pct_trust,10,0.4195,0.0390,0.9908,0.0006,0.9802,0.0052,7.40,3.92,74
localization_90pct_notrust,10,0.4236,0.0292,0.9907,0.0006,0.9787,0.0138,6.00,4.42,60
localization_100pct_trust,10,0.4197,0.0376,0.9908,0.0004,0.9769,0.0100,6.50,3.10,65
localization_100pct_notrust,10,0.4286,0.0319,0.9908,0.0004,0.9845,0.0085,4.10,3.73,41
mal_remove_10pct_trust,10,0.4448,0.0519,0.9909,0.0004,0.9943,0.0010,4.00,3.80,40
mal_remove_10pct_notrust,10,0.4556,0.0206,0.9907,0.0005,0.9943,0.0004,3.50,2.27,35
mal_remove_20pct_trust,10,0.4680,0.0196,0.9910,0.0002,0.9940,0.0005,2.80,3.19,28
mal_remove_20pct_notrust,10,0.4611,0.0340,0.9905,0.0006,0.9942,0.0007,4.40,2.99,44
mal_remove_30pct_trust,10,0.4527,0.0435,0.9909,0.0004,0.9942,0.0006,8.00,4.37,80
mal_remove_30pct_notrust,10,0.4550,0.0313,0.9907,0.0006,0.9944,0.0006,3.90,4.38,39
mal_remove_40pct_trust,10,0.4401,0.0327,0.9909,0.0007,0.9943,0.0009,5.60,4.20,56
mal_remove_40pct_notrust,10,0.4594,0.0483,0.9906,0.0008,0.9942,0.0010,3.00,2.67,30
mal_remove_50pct_trust,10,0.4462,0.0408,0.9906,0.0007,0.9943,0.0006,7.10,4.68,71
mal_remove_50pct_notrust,10,0.4532,0.0378,0.9907,0.0005,0.9942,0.0004,6.80,3.68,68
mal_remove_60pct_trust,10,0.4328,0.0526,0.9908,0.0005,0.9944,0.0006,7.30,4.27,73
mal_remove_60pct_notrust,10,0.4659,0.0389,0.9910,0.0004,0.9939,0.0006,2.80,2.10,28
mal_remove_70pct_trust,10,0.4454,0.0258,0.9906,0.0007,0.9941,0.0005,7.30,3.77,73
mal_remove_70pct_notrust,10,0.4565,0.0453,0.9908,0.0006,0.9943,0.0005,3.50,2.17,35
mal_remove_80pct_trust,10,0.4625,0.0436,0.9906,0.0005,0.9940,0.0008,6.20,5.12,62
mal_remove_80pct_notrust,10,0.4625,0.0436,0.9906,0.0006,0.9941,0.0004,4.60,2.12,46
mal_remove_90pct_trust,10,0.4461,0.0355,0.9907,0.0006,0.9944,0.0007,5.60,3.98,56
mal_remove_90pct_notrust,10,0.4726,0.0407,0.9910,0.0007,0.9940,0.0008,5.00,4.00,50
mal_remove_100pct_trust,10,0.4569,0.0289,0.9908,0.0005,0.9940,0.0008,4.70,2.41,47
