Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.5234,0.0484,0.9898,0.0015,0.9913,0.0022,0.20,0.63,2
extrinsics_5deg,10,0.4894,0.0589,0.9901,0.0007,0.9903,0.0024,0.10,0.32,1
localization_50pct,10,0.5020,0.0380,0.9904,0.0008,0.9908,0.0027,0.30,0.67,3
mal_remove_50pct,10,0.5199,0.0444,0.9910,0.0013,0.9913,0.0020,0.20,0.63,2
mal_add_50pct,10,0.5023,0.0557,0.9904,0.0011,0.9924,0.0018,0.30,0.67,3
mal_convoy_50pct,10,0.5190,0.0496,0.9903,0.0012,0.9915,0.0020,0.00,0.00,0
