Metric,Value
config_name,extrinsics_4deg_trust
run_id,9
total_steps,7000
recorded_steps,5000
wall_time_seconds,445.79796147346497
avg_cav_amota,0.9941016855748138
avg_cis_amota,0.9908426689770714
avg_global_amota,0.43108624717490324
cav_total_mse_violations_gt,67142
cav_total_mse_violations_sensor,67150
cav_total_ttc_violations_gt,20446
cav_total_ttc_violations_sensor,18097
cav_true_positives_mse,67117
cav_false_positives_mse,33
cav_false_negatives_mse,25
cav_true_positives_ttc,15983
cav_false_positives_ttc,2114
cav_false_negatives_ttc,4463
cav_amota,26581.284970584948
cav_total_mse_violations_gt_av,8597
cav_total_mse_violations_gt_non_av,58545
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,67150
cav_total_ttc_violations_gt_av,2634
cav_total_ttc_violations_gt_non_av,17812
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,18097
cis_total_mse_violations_gt,24421
cis_total_mse_violations_sensor,24415
cis_total_ttc_violations_gt,1856
cis_total_ttc_violations_sensor,1834
cis_true_positives_mse,24401
cis_false_positives_mse,14
cis_false_negatives_mse,20
cis_true_positives_ttc,1806
cis_false_positives_ttc,28
cis_false_negatives_ttc,50
cis_amota,4939.350704850701
cis_total_mse_violations_gt_av,2529
cis_total_mse_violations_gt_non_av,21892
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24415
cis_total_ttc_violations_gt_av,184
cis_total_ttc_violations_gt_non_av,1672
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1834
global_total_mse_violations_gt,744755
global_total_mse_violations_sensor,900488
global_total_ttc_violations_gt,286402
global_total_ttc_violations_sensor,362063
global_true_positives_mse,724983
global_false_positives_mse,175505
global_false_negatives_mse,19772
global_true_positives_ttc,265339
global_false_positives_ttc,96724
global_false_negatives_ttc,21063
global_amota,2092.923730034155
global_total_mse_violations_gt_av,87569
global_total_mse_violations_gt_non_av,657186
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,900488
global_total_ttc_violations_gt_av,35801
global_total_ttc_violations_gt_non_av,250601
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,362063
