Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.5119,0.0509,0.9905,0.0011,0.9919,0.0018,0.10,0.32,1
extrinsics_1deg,10,0.5028,0.0550,0.9904,0.0015,0.9916,0.0014,0.30,0.67,3
extrinsics_2deg,10,0.4861,0.0488,0.9901,0.0010,0.9935,0.0026,0.00,0.00,0
extrinsics_3deg,10,0.5316,0.0598,0.9909,0.0010,0.9906,0.0021,0.30,0.67,3
extrinsics_4deg,10,0.5216,0.0357,0.9905,0.0008,0.9918,0.0014,0.00,0.00,0
extrinsics_5deg,10,0.5443,0.0564,0.9902,0.0012,0.9906,0.0025,0.00,0.00,0
extrinsics_6deg,10,0.5144,0.0415,0.9905,0.0007,0.9912,0.0026,0.20,0.63,2
extrinsics_7deg,10,0.4912,0.0678,0.9908,0.0009,0.9918,0.0030,0.40,1.26,4
extrinsics_8deg,10,0.5191,0.0566,0.9900,0.0006,0.9907,0.0020,0.20,0.42,2
extrinsics_9deg,10,0.4672,0.0590,0.9900,0.0012,0.9918,0.0026,0.00,0.00,0
extrinsics_10deg,10,0.5235,0.0634,0.9906,0.0010,0.9913,0.0019,0.10,0.32,1
localization_10pct,10,0.5168,0.0269,0.9902,0.0011,0.9913,0.0016,0.00,0.00,0
localization_20pct,10,0.5419,0.0353,0.9907,0.0013,0.9904,0.0025,0.90,0.99,9
localization_30pct,10,0.5377,0.0536,0.9901,0.0013,0.9912,0.0018,0.00,0.00,0
localization_40pct,10,0.5100,0.0472,0.9907,0.0013,0.9922,0.0023,0.00,0.00,0
localization_50pct,10,0.5163,0.0542,0.9912,0.0011,0.9922,0.0023,0.10,0.32,1
localization_60pct,10,0.5392,0.0684,0.9909,0.0007,0.9907,0.0024,0.50,0.97,5
localization_70pct,10,0.5280,0.0373,0.9913,0.0012,0.9906,0.0014,0.00,0.00,0
localization_80pct,10,0.5511,0.0717,0.9910,0.0013,0.9897,0.0027,1.00,2.21,10
localization_90pct,10,0.5107,0.0688,0.9903,0.0012,0.9893,0.0031,0.40,0.97,4
localization_100pct,10,0.5101,0.0373,0.9900,0.0014,0.9901,0.0035,0.00,0.00,0
mal_remove_10pct,10,0.5047,0.0605,0.9903,0.0012,0.9911,0.0029,0.30,0.48,3
mal_remove_20pct,10,0.5420,0.0383,0.9905,0.0013,0.9908,0.0008,0.40,0.70,4
mal_remove_30pct,10,0.5075,0.0527,0.9911,0.0012,0.9927,0.0019,0.00,0.00,0
mal_remove_40pct,10,0.4815,0.0453,0.9911,0.0008,0.9926,0.0021,0.30,0.67,3
mal_remove_50pct,10,0.4883,0.0639,0.9899,0.0013,0.9926,0.0024,0.00,0.00,0
mal_remove_60pct,10,0.5191,0.0263,0.9910,0.0011,0.9910,0.0017,0.70,1.25,7
mal_remove_70pct,10,0.5053,0.0573,0.9903,0.0015,0.9912,0.0023,0.40,0.97,4
mal_remove_80pct,10,0.5310,0.0383,0.9905,0.0011,0.9910,0.0017,0.40,0.84,4
mal_remove_90pct,10,0.5316,0.0706,0.9906,0.0015,0.9911,0.0022,0.20,0.42,2
mal_remove_100pct,10,0.5333,0.0445,0.9905,0.0012,0.9912,0.0024,0.70,1.06,7
mal_add_10pct,10,0.4945,0.0633,0.9903,0.0009,0.9914,0.0027,0.40,0.84,4
mal_add_20pct,10,0.5228,0.0533,0.9897,0.0011,0.9914,0.0024,0.10,0.32,1
mal_add_30pct,10,0.5141,0.0442,0.9908,0.0011,0.9916,0.0022,0.40,0.84,4
mal_add_40pct,10,0.5349,0.0610,0.9899,0.0013,0.9911,0.0019,0.10,0.32,1
mal_add_50pct,10,0.5295,0.0669,0.9904,0.0010,0.9917,0.0035,0.60,1.07,6
mal_add_60pct,10,0.5043,0.0618,0.9902,0.0010,0.9922,0.0022,0.10,0.32,1
mal_add_70pct,10,0.5370,0.0724,0.9904,0.0010,0.9900,0.0033,0.50,0.85,5
mal_add_80pct,10,0.4881,0.0513,0.9900,0.0012,0.9922,0.0018,0.60,1.58,6
mal_add_90pct,10,0.5093,0.0580,0.9906,0.0009,0.9915,0.0022,0.20,0.42,2
mal_add_100pct,10,0.5012,0.0535,0.9907,0.0011,0.9919,0.0020,0.70,1.57,7
mal_convoy_10pct,10,0.5461,0.0589,0.9903,0.0011,0.9911,0.0024,0.80,1.87,8
mal_convoy_20pct,10,0.5211,0.0463,0.9901,0.0008,0.9913,0.0020,0.10,0.32,1
mal_convoy_30pct,10,0.5333,0.0594,0.9901,0.0013,0.9916,0.0014,0.30,0.48,3
mal_convoy_40pct,10,0.5228,0.0666,0.9907,0.0014,0.9909,0.0023,0.30,0.67,3
mal_convoy_50pct,10,0.5253,0.0730,0.9905,0.0006,0.9923,0.0024,0.50,1.58,5
mal_convoy_60pct,10,0.5064,0.0372,0.9897,0.0007,0.9914,0.0024,0.20,0.42,2
mal_convoy_70pct,10,0.5509,0.0402,0.9903,0.0011,0.9911,0.0015,0.30,0.48,3
mal_convoy_80pct,10,0.4861,0.0474,0.9906,0.0010,0.9922,0.0020,0.00,0.00,0
mal_convoy_90pct,10,0.5122,0.0475,0.9902,0.0016,0.9908,0.0020,0.40,0.70,4
mal_convoy_100pct,10,0.5330,0.0424,0.9904,0.0008,0.9913,0.0021,0.10,0.32,1
