Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.4595,0.0240,0.9907,0.0003,0.9940,0.0005,0.00,0.00,0
baseline_notrust,10,0.4366,0.0328,0.9909,0.0004,0.9946,0.0005,0.20,0.63,2
extrinsics_10deg_trust,10,0.4543,0.0218,0.9906,0.0006,0.9830,0.0106,0.00,0.00,0
extrinsics_10deg_notrust,10,0.4473,0.0227,0.9909,0.0006,0.9832,0.0068,0.00,0.00,0
localization_100pct_trust,10,0.4455,0.0280,0.9909,0.0006,0.9855,0.0067,0.10,0.32,1
localization_100pct_notrust,10,0.4477,0.0302,0.9906,0.0008,0.9819,0.0099,0.00,0.00,0
mal_remove_50pct_trust,10,0.4512,0.0350,0.9908,0.0007,0.9944,0.0006,0.00,0.00,0
mal_remove_50pct_notrust,10,0.4549,0.0354,0.9907,0.0007,0.9940,0.0006,0.00,0.00,0
mal_add_50pct_trust,10,0.4534,0.0410,0.9906,0.0006,0.9942,0.0007,0.00,0.00,0
mal_add_50pct_notrust,10,0.4478,0.0478,0.9908,0.0005,0.9944,0.0007,0.00,0.00,0
mal_convoy_50pct_trust,10,0.4553,0.0388,0.9907,0.0004,0.9943,0.0005,0.00,0.00,0
mal_convoy_50pct_notrust,10,0.4592,0.0288,0.9906,0.0005,0.9941,0.0005,0.10,0.32,1
high_miss_50pct_trust,10,0.4831,0.0187,0.9906,0.0006,0.9939,0.0004,0.00,0.00,0
high_miss_50pct_notrust,10,0.4680,0.0318,0.9908,0.0006,0.9940,0.0005,0.00,0.00,0
lag_5steps_trust,10,0.4607,0.0272,0.9907,0.0007,0.9941,0.0005,0.00,0.00,0
lag_5steps_notrust,10,0.4632,0.0242,0.9905,0.0006,0.9942,0.0004,0.00,0.00,0
