Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,5,0.4980,0.0535,0.9895,0.0025,0.9947,0.0038,0.00,0.00,0
baseline_notrust,5,0.5607,0.0584,0.9907,0.0017,0.9911,0.0008,0.00,0.00,0
extrinsics_5deg_trust,5,0.5355,0.0706,0.9905,0.0012,0.9877,0.0108,0.60,0.55,3
extrinsics_5deg_notrust,5,0.5480,0.0673,0.9894,0.0017,0.9811,0.0247,0.80,1.30,4
localization_50pct_trust,5,0.5369,0.0582,0.9903,0.0014,0.9916,0.0038,0.00,0.00,0
localization_50pct_notrust,5,0.5336,0.0747,0.9905,0.0009,0.9902,0.0049,0.00,0.00,0
mal_remove_50pct_trust,5,0.5487,0.0808,0.9907,0.0015,0.9903,0.0019,0.40,0.89,2
mal_remove_50pct_notrust,5,0.5097,0.0376,0.9901,0.0011,0.9940,0.0017,0.40,0.89,2
mal_add_50pct_trust,5,0.5646,0.0661,0.9907,0.0018,0.9916,0.0042,0.00,0.00,0
mal_add_50pct_notrust,5,0.5514,0.0424,0.9899,0.0020,0.9906,0.0024,0.40,0.89,2
mal_convoy_50pct_trust,5,0.5265,0.0388,0.9919,0.0008,0.9928,0.0029,0.00,0.00,0
mal_convoy_50pct_notrust,5,0.5494,0.0888,0.9903,0.0010,0.9940,0.0056,0.40,0.89,2
