Metric,Value
config_name,mal_remove_80pct_trust
run_id,3
total_steps,7000
recorded_steps,5000
wall_time_seconds,537.2770261764526
avg_cav_amota,0.9938996438452516
avg_cis_amota,0.9903590086155212
avg_global_amota,0.5017230857985165
cav_total_mse_violations_gt,81370
cav_total_mse_violations_sensor,81359
cav_total_ttc_violations_gt,23945
cav_total_ttc_violations_sensor,21115
cav_true_positives_mse,81328
cav_false_positives_mse,31
cav_false_negatives_mse,42
cav_true_positives_ttc,18972
cav_false_positives_ttc,2143
cav_false_negatives_ttc,4973
cav_amota,29465.14884143633
cav_total_mse_violations_gt_av,8339
cav_total_mse_violations_gt_non_av,73031
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,81359
cav_total_ttc_violations_gt_av,2339
cav_total_ttc_violations_gt_non_av,21606
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,21115
cis_total_mse_violations_gt,25037
cis_total_mse_violations_sensor,25028
cis_total_ttc_violations_gt,1869
cis_total_ttc_violations_sensor,1871
cis_true_positives_mse,25017
cis_false_positives_mse,11
cis_false_negatives_mse,20
cis_true_positives_ttc,1823
cis_false_positives_ttc,48
cis_false_negatives_ttc,46
cis_amota,4941.891452991451
cis_total_mse_violations_gt_av,3195
cis_total_mse_violations_gt_non_av,21842
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25028
cis_total_ttc_violations_gt_av,269
cis_total_ttc_violations_gt_non_av,1600
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1871
global_total_mse_violations_gt,1001321
global_total_mse_violations_sensor,1186392
global_total_ttc_violations_gt,386722
global_total_ttc_violations_sensor,465712
global_true_positives_mse,977622
global_false_positives_mse,208770
global_false_negatives_mse,23699
global_true_positives_ttc,358758
global_false_positives_ttc,106954
global_false_negatives_ttc,27964
global_amota,2473.4948129866866
global_total_mse_violations_gt_av,110431
global_total_mse_violations_gt_non_av,890890
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1186392
global_total_ttc_violations_gt_av,44148
global_total_ttc_violations_gt_non_av,342574
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,465712
