Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,1,0.6557,0.0000,0.9963,0.0000,1.0000,0.0000,0.00,0.00,0
baseline_notrust,1,0.7082,0.0000,0.9965,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_trust,1,0.6826,0.0000,0.9921,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_notrust,1,0.6866,0.0000,0.9959,0.0000,0.0000,0.0000,0.00,0.00,0
localization_50pct_trust,1,0.6740,0.0000,0.9943,0.0000,0.0000,0.0000,0.00,0.00,0
localization_50pct_notrust,1,0.6833,0.0000,0.9977,0.0000,0.0000,0.0000,0.00,0.00,0
mal_remove_50pct_trust,1,0.6282,0.0000,0.9965,0.0000,0.0000,0.0000,0.00,0.00,0
mal_remove_50pct_notrust,1,0.6479,0.0000,0.9967,0.0000,0.9908,0.0000,0.00,0.00,0
mal_add_50pct_trust,1,0.6985,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
mal_add_50pct_notrust,1,0.6772,0.0000,0.9977,0.0000,0.0000,0.0000,0.00,0.00,0
mal_convoy_50pct_trust,1,0.6899,0.0000,0.9950,0.0000,0.0000,0.0000,0.00,0.00,0
mal_convoy_50pct_notrust,1,0.6432,0.0000,1.0000,0.0000,1.0000,0.0000,0.00,0.00,0
