Metric,Value
config_name,extrinsics_1deg_notrust
run_id,2
total_steps,7000
recorded_steps,5000
wall_time_seconds,390.91564869880676
avg_cav_amota,0.9908191601519568
avg_cis_amota,0.990555292807048
avg_global_amota,0.45217390456588175
cav_total_mse_violations_gt,56135
cav_total_mse_violations_sensor,56125
cav_total_ttc_violations_gt,18159
cav_total_ttc_violations_sensor,15388
cav_true_positives_mse,56101
cav_false_positives_mse,24
cav_false_negatives_mse,34
cav_true_positives_ttc,13323
cav_false_positives_ttc,2065
cav_false_negatives_ttc,4836
cav_amota,22802.712151737134
cav_total_mse_violations_gt_av,3461
cav_total_mse_violations_gt_non_av,52674
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,56125
cav_total_ttc_violations_gt_av,841
cav_total_ttc_violations_gt_non_av,17318
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,15388
cis_total_mse_violations_gt,25028
cis_total_mse_violations_sensor,25019
cis_total_ttc_violations_gt,1774
cis_total_ttc_violations_sensor,1772
cis_true_positives_mse,25003
cis_false_positives_mse,16
cis_false_negatives_mse,25
cis_true_positives_ttc,1733
cis_false_positives_ttc,39
cis_false_negatives_ttc,41
cis_amota,4937.918134643134
cis_total_mse_violations_gt_av,2825
cis_total_mse_violations_gt_non_av,22203
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25019
cis_total_ttc_violations_gt_av,239
cis_total_ttc_violations_gt_non_av,1535
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1772
global_total_mse_violations_gt,553221
global_total_mse_violations_sensor,669911
global_total_ttc_violations_gt,211633
global_total_ttc_violations_sensor,257242
global_true_positives_mse,537093
global_false_positives_mse,132818
global_false_negatives_mse,16128
global_true_positives_ttc,191528
global_false_positives_ttc,65714
global_false_negatives_ttc,20105
global_amota,2242.3303927422076
global_total_mse_violations_gt_av,35788
global_total_mse_violations_gt_non_av,517433
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,669911
global_total_ttc_violations_gt_av,13416
global_total_ttc_violations_gt_non_av,198217
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,257242
