range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std,n_fp_car,n_fp_truck,n_fp_bus,n_fp_construction_vehicle,n_tp,n_tp_per_scen_mean,n_tp_per_scen_std,n_fn,n_fn_per_scen_mean,n_fn_per_scen_std,n_fp_total,n_fp_per_scen_mean,n_fp_per_scen_std,n_gt_tracks,n_gt_tracks_per_scen_mean,n_gt_tracks_per_scen_std,n_fp_clusters,n_fp_clusters_per_scen_mean,n_fp_clusters_per_scen_std,tp_lifetime_mean,tp_lifetime_std,fp_lifetime_mean,fp_lifetime_std,tp_p_match_per_track_mean,tp_p_match_per_track_std,fp_p_match_per_cluster_mean,fp_p_match_per_cluster_std,tp_dscore_mean,tp_dscore_std,fp_dscore_mean,fp_dscore_std,tp_fragments_per_track_mean,tp_fragments_per_track_std,fp_fragments_per_cluster_mean,fp_fragments_per_cluster_std,total_frames_with_gt,total_frames_with_fp,gt_density_per_scen_mean,gt_density_per_scen_std,fp_density_per_scen_mean,fp_density_per_scen_std
0.0,5.0,-180.0,-170.0,0,0,1.0,no_data,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0
0.0,5.0,-170.0,-160.0,0,0,1.0,no_data,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0
0.0,5.0,-160.0,-150.0,0,0,1.0,no_data,0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0
0.0,5.0,-150.0,-140.0,3,0,0.0,measured,1,0.00014074595355383532,0.7305060227711996,0.034326420844865445,0.24921941757202148,,0.13550639152526855,0.04850172996520996,0.08642754952112834,0.1340795420420808,0.0813277609696766,0.06014665588736534,0.27189938227335614,0.06895788510640462,0.17770294348398843,0.1061462695727832,0.028933055484764388,0.035794242431954504,0.08741495860088638,0.024200184130916996,0.027901713581010006,0.2013777921423263,0.02428686761318646,0.1252671916995925,1,0,0,0,3,0.09375,0.2914805954090255,0,0.0,0.0,1,0.03125,0.17399263633843817,0,0.0,0.0,1,0.03125,0.17399263633843817,,,2.0,0.0,,,1.0,0.0,,,-0.027836352586746216,0.0,,,1.0,0.0,3,1,0.00031949800294510194,0.000995035771597996,0.00025201612903225806,0.0014031664220841788
0.0,5.0,-140.0,-130.0,51,2,0.0392156862745098,measured,3,0.000422237860661506,0.5849140201296125,0.09468537229907029,0.3305311252673467,0.103906071866775,0.13791939677024373,0.0945876423193484,0.060131577812895486,0.12677239463442572,0.10605408241340583,0.035627948077471584,0.3130056030896245,0.16135506240689024,0.09649542643099415,0.10417901839134294,0.07419267362545645,0.058897943833295295,0.10636905878136015,0.07545407658801272,0.02770459500921904,0.28547223572084285,0.13325890427117176,0.08450006829779098,3,0,0,0,49,1.53125,3.162123248309591,2,0.0625,0.24206145913796356,3,0.09375,0.2914805954090255,0,0.0,0.0,2,0.0625,0.24206145913796356,,,1.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,51,3,0.008449211932435082,0.017744150574650223,0.00046485884187497085,0.0015951358331235353
0.0,5.0,-130.0,-120.0,111,9,0.08108108108108109,measured,13,0.0018296973961998593,0.6526706151518167,0.06877373360120968,0.4697152880521921,0.06723227190139028,0.0969057281812032,0.10904105036866431,0.06323075352930556,0.12416674481260677,0.08867305328816807,0.04716234968338326,0.24820695671380735,0.21196588815427295,0.1608809104152754,0.1037915605331346,0.06010934634566441,0.054221767288216836,0.0664672035143649,0.08926540391446121,0.03346061536440407,0.24007558087655334,0.09248925785207193,0.07520904435645633,13,0,0,0,102,3.1875,11.544580709146608,9,0.28125,0.8379429798619952,13,0.40625,1.5980334594431995,0,0.0,0.0,1,0.03125,0.17399263633843817,,,1.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,111,13,0.032622683618672314,0.14288528188366642,0.0021306987475929453,0.00951942951579961
0.0,5.0,-120.0,-110.0,48,6,0.125,measured,3,0.000422237860661506,0.5888999210936683,0.09805488526855377,0.49089086055755615,0.09553541197445728,0.18275856120245798,0.08160623482295445,0.05779177376202175,0.1224462440523006,0.15243251690381235,0.05742519132226811,0.3757221358163016,0.15604159661701747,0.0804412733940851,0.14930393698163397,0.07942833745321257,0.06087428354768544,0.11901605474679725,0.1275430102511684,0.040292393607540264,0.24568802545872537,0.11435147686276033,0.07988001474947719,3,0,0,0,42,1.3125,3.358175658002422,6,0.1875,0.6343057228182637,3,0.09375,0.38400642898264087,0,0.0,0.0,1,0.03125,0.17399263633843817,,,1.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,48,3,0.006683011175558017,0.013046174341790135,0.0004924242424242425,0.0021822258667930417
0.0,5.0,-110.0,-100.0,42,6,0.14285714285714285,measured,6,0.000844475721323012,0.6147047993209627,0.09741545846395677,0.4214448183774948,0.11206400148925273,0.17473137709829542,0.12479081418779162,0.07162454062037998,0.14269673779540046,0.16933379221913658,0.05444024140403295,0.45140663782755536,0.16926111115349662,0.12564598851733738,0.18821351470577966,0.08902110878069448,0.0629699402158573,0.10582063313230348,0.170934454728943,0.0391654757704283,0.3479972827693707,0.1489505198920207,0.1046863029064037,6,0,0,0,36,1.125,2.3284920012746446,6,0.1875,0.6343057228182637,6,0.1875,0.5266343608235224,0,0.0,0.0,2,0.0625,0.24206145913796356,,,1.5,0.5,,,1.0,0.0,,,0.03730902075767517,0.0,,,1.0,0.0,42,6,0.006292164277519879,0.010857973864852032,0.000827767690295076,0.00250460822643366
0.0,5.0,-100.0,-90.0,34,5,0.14705882352941177,measured,4,0.0005629838142153413,0.5205084054634489,0.09641859760520398,0.3663504496216774,0.08098136656219848,0.2368148185376977,0.15025510459110655,0.045926778480924406,0.16329157132014774,0.22792607440201468,0.047043122483642195,0.38705767434218835,0.15459100542397336,0.08631971375695591,0.16298305044789563,0.10106494669568648,0.04298044928742726,0.11317984447577406,0.15495593911352426,0.032722315732427405,0.26190689733047195,0.12550208698155366,0.07461776482996765,4,0,0,0,29,0.90625,2.1412521891407374,5,0.15625,0.3630921887069453,4,0.125,0.414578098794425,0,0.0,0.0,2,0.0625,0.24206145913796356,,,2.0,1.0,,,1.0,0.0,,,-0.009602189064025879,0.05299147963523865,,,1.0,0.0,34,4,0.005040938147913143,0.010092626753245936,0.0005846495180966171,0.0022200236910607323
0.0,5.0,-90.0,-80.0,55,32,0.5818181818181818,measured,18,0.002533427163969036,0.5813691745633665,0.09893963953300897,0.4008782489432229,0.04307586594883655,0.1430370647298253,0.13213462414948837,0.06263107320536739,0.13496463159936153,0.1452836040949752,0.05244666322782312,0.35965007284413214,0.13357844041741412,0.0811520763065504,0.13395547853264284,0.11949897954486428,0.0671875926629787,0.11673076381498187,0.13112737511449724,0.03716923767873607,0.249164122203061,0.10175493939822257,0.06200614223181337,18,0,0,0,23,0.71875,1.5048748909793133,32,1.0,4.697073557013984,18,0.5625,2.4486922530199666,0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,,,,55,18,0.009698039935865752,0.03171437891032935,0.0034525824939733362,0.016339683525943713
