range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std
0.0,5.0,-180.0,-170.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,-170.0,-160.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,-160.0,-150.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,-150.0,-140.0,2,0,0.0,measured,0,0.0,0.7991519868373871,0.003210395574569702,,,0.13551318645477295,0.05034434795379639,0.065959632396698,0.1365237660922635,0.04311523400328506,0.0760307963937521,0.235764741897583,0.12133634090423584,0.022050023078918457,0.0756450891494751,0.046361565589904785,0.06313437223434448,0.09085511854478015,0.004199603962150145,0.008669888600707054,0.11080574989318848,0.024663329124450684,0.012449383735656738
0.0,5.0,-140.0,-130.0,18,2,0.1111111111111111,measured,0,0.0,0.5955637618899345,0.11265039782093267,,,0.18284066021442413,0.10187463462352753,0.06134079769253731,0.1758855695016067,0.11183271993286234,0.03673154948046431,0.274272158741951,0.13363075256347656,0.07086601108312607,0.10380509527672407,0.07877671453473191,0.04473499397095409,0.10876110172208117,0.07429097328298173,0.03217406051025827,0.25849306761247326,0.09228216109330731,0.0584227136388611
0.0,5.0,-130.0,-120.0,57,14,0.24561403508771928,measured,3,0.00038201961033999744,0.6746893060761828,0.1317645002232814,0.3631027638912201,0.04615344140355079,0.1634313367133917,0.08849992308505746,0.0636080683663834,0.12139225123672018,0.1410605584253033,0.043061397682745445,0.2834639881932458,0.1190151059350302,0.09804420415745226,0.14707726632445953,0.06181362119321489,0.045260777525024096,0.10354450725348009,0.12099198095137537,0.04811645446812626,0.2310223998186943,0.07679790306633909,0.07753778872432585
0.0,5.0,-120.0,-110.0,36,0,0.0,measured,0,0.0,0.6020319792959425,0.13303622194141687,,,0.213871439297994,0.11434218618604872,0.052481166190571256,0.1381791550261698,0.20113104317622962,0.05970058957528737,0.22123777866363525,0.11578626434008281,0.09825240572293599,0.18408425601779627,0.06449364251458,0.046113245683008966,0.10973792418810725,0.15897164498615843,0.05502714853034488,0.18872544932760654,0.0813910997495992,0.06249697320048336
0.0,5.0,-110.0,-100.0,86,3,0.03488372093023256,measured,1,0.00012733987011333248,0.7407135945486735,0.09977902434093326,0.2965330481529236,,0.09902804874512086,0.1044586135680417,0.03653300167566322,0.10272253889380975,0.10402274783761897,0.03380827575735117,0.17806270610855288,0.06912503185042415,0.06350986785199268,0.08743948131369814,0.04886879910706919,0.04189549336574299,0.05824342778411278,0.07737589974195369,0.03862977463123152,0.20436973157938593,0.0772931876488538,0.0689663187438311
0.0,5.0,-100.0,-90.0,45,1,0.022222222222222223,measured,3,0.00038201961033999744,0.6714151799678802,0.10661884238857629,0.4038914640744527,0.05410825237955125,0.1682374386794188,0.07924850962378761,0.05757795545187863,0.09268166956021444,0.1626124511095701,0.04047297294461962,0.17692575671456076,0.10714646632021124,0.0820200199430639,0.193754134103766,0.06340705612971051,0.06739309028985936,0.0687083439494607,0.1907662015235683,0.03131682333745614,0.20601620989843297,0.0847614603830339,0.0686937935672359
0.0,5.0,-90.0,-80.0,142,0,0.0,measured,1,0.00012733987011333248,0.5384891509590014,0.08245955415096491,0.40589478611946106,,0.11967708724452523,0.22664546294951102,0.0773086879454868,0.2240539462989894,0.13127597319896114,0.0631337935294756,0.13161684089983014,0.219559327817299,0.055850504989355385,0.07401283021461402,0.12410262936669991,0.0594539026975758,0.12062161176649669,0.06772745028720205,0.0353477048363522,0.13436190387385488,0.07731196444018051,0.050637494137781805
0.0,5.0,-80.0,-70.0,46,1,0.021739130434782608,measured,2,0.00025467974022666496,0.6900267203648885,0.0992801221099092,0.3337847739458084,0.030693188309669495,0.13084656794865926,0.12378634876675076,0.06974800030390421,0.13044976125885516,0.12685184601959698,0.056260890284061636,0.24591679043240017,0.14088948567708334,0.0612521939807468,0.11236308362051525,0.08237287096100776,0.05638097677922502,0.0893011833279189,0.1037853772030437,0.04573081985649019,0.2122097768894632,0.11197742508003578,0.04695660675099537
0.0,5.0,-70.0,-60.0,48,1,0.020833333333333332,measured,1,0.00012733987011333248,0.6484776392896124,0.1329698997635414,0.3572549819946289,,0.17914036233374414,0.09722858286918477,0.05160176880816196,0.13159991731267634,0.15450893476864255,0.04783014993757961,0.23216796428599257,0.12180409532912234,0.08439038408563491,0.1599850917309224,0.060678869185686504,0.04992255343940756,0.08297483050037914,0.1508159468657404,0.04092015652949958,0.24525834806223504,0.10412404062373501,0.06927295802082306
0.0,5.0,-60.0,-50.0,69,1,0.014492753623188406,measured,3,0.00038201961033999744,0.6921951165970635,0.11274718559061847,0.4251357118288676,0.1268605132532703,0.1352183205239913,0.08482416587717392,0.05504745946210973,0.11951981255968185,0.10663258608547731,0.0437388998860329,0.17569702513077678,0.12123253064997055,0.08062771138022928,0.1490763160269516,0.04882018663515746,0.04168929991411092,0.0962801683191609,0.1231297166576864,0.033196753826189515,0.20370686908936556,0.1034596580123946,0.0773767206480679
0.0,5.0,-50.0,-40.0,25,0,0.0,measured,0,0.0,0.5714337408542634,0.10204429871036003,,,0.17332385063171388,0.10315132141113281,0.06159107208251953,0.11650366281809471,0.1624291868788418,0.0520614217966795,0.3264250373840332,0.22159514904022218,0.06140766143798828,0.1505522784436576,0.062326940685252005,0.0348805224645303,0.10756188353664596,0.12532392188374097,0.024463149411927874,0.22886377624915064,0.12357816697309894,0.06184620604716271
0.0,5.0,-40.0,-30.0,3,0,0.0,measured,0,0.0,0.7132525444030762,0.08567378720501409,,,0.07974720001220703,0.10785635312398274,0.036085168520609535,0.02989175878959266,0.12781186428812952,0.037977397441864014,0.30640427271525067,0.21799914042154947,0.06568694114685059,0.05599763564825575,0.07010429190086732,0.02596263534150709,0.014818878876033035,0.09270364983442705,0.02129157344020449,0.07531422797632024,0.038937890485617986,0.009913679020456598
0.0,5.0,-30.0,-20.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,-20.0,-10.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,-10.0,0.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,0.0,10.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,10.0,20.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
0.0,5.0,20.0,30.0,0,0,0.0386977886977887,fallback,0,0.0,,,,,0.1710770980028001,0.10191769721789863,0.053255416486209954,0.13355534535267774,0.15194020314725598,0.048086012580883145,0.2815240485980488,0.14293482166509658,0.08251680337582915,0.14994583309889062,0.08600704708548582,0.05085232549084425,0.105892171378439,0.13190734594934964,0.09187249326054048,0.30224786870510156,0.16995947809863637,0.07197038462393786
