# DAIR-V2X-Seq SPD PointPillars (vehicle-side, train-calibrated) - Polar binned error distributions (angle+distance)
# normal: param1=mu(0), param2=std, param3=mae; miss_detection constant: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
length,0.0,5.0,-60.0,-50.0,normal,0.000000,0.127402,0.095920
box_height,0.0,5.0,-60.0,-50.0,normal,0.000000,0.063944,0.040672
miss_detection,0.0,5.0,-50.0,-40.0,constant,0.000000,,
distal,0.0,5.0,-50.0,-40.0,normal,0.000000,0.132036,0.107327
perpendicular,0.0,5.0,-50.0,-40.0,normal,0.000000,0.119955,0.099172
height,0.0,5.0,-50.0,-40.0,normal,0.000000,0.073338,0.063008
yaw,0.0,5.0,-50.0,-40.0,normal,0.000000,0.029790,0.023757
width,0.0,5.0,-50.0,-40.0,normal,0.000000,0.121278,0.077160
length,0.0,5.0,-50.0,-40.0,normal,0.000000,0.199522,0.180027
box_height,0.0,5.0,-50.0,-40.0,normal,0.000000,0.077241,0.052809
miss_detection,0.0,5.0,-40.0,-30.0,constant,0.000000,,
distal,0.0,5.0,-40.0,-30.0,normal,0.000000,0.054508,0.052887
perpendicular,0.0,5.0,-40.0,-30.0,normal,0.000000,0.065390,0.052995
height,0.0,5.0,-40.0,-30.0,normal,0.000000,0.027088,0.022919
yaw,0.0,5.0,-40.0,-30.0,normal,0.000000,0.020562,0.019314
width,0.0,5.0,-40.0,-30.0,normal,0.000000,0.051689,0.043823
length,0.0,5.0,-40.0,-30.0,normal,0.000000,0.097951,0.129338
box_height,0.0,5.0,-40.0,-30.0,normal,0.000000,0.058033,0.048549
miss_detection,0.0,5.0,-30.0,-20.0,constant,1.000000,,
distal,0.0,5.0,-30.0,-20.0,normal,0.000000,0.173599,0.096635
perpendicular,0.0,5.0,-30.0,-20.0,normal,0.000000,0.182777,0.098628
height,0.0,5.0,-30.0,-20.0,normal,0.000000,0.136262,0.088916
yaw,0.0,5.0,-30.0,-20.0,normal,0.000000,0.650372,0.184315
width,0.0,5.0,-30.0,-20.0,normal,0.000000,0.113978,0.078643
length,0.0,5.0,-30.0,-20.0,normal,0.000000,0.252553,0.124147
box_height,0.0,5.0,-30.0,-20.0,normal,0.000000,0.120514,0.079577
miss_detection,0.0,5.0,-20.0,-10.0,constant,1.000000,,
distal,0.0,5.0,-20.0,-10.0,normal,0.000000,0.173599,0.096635
perpendicular,0.0,5.0,-20.0,-10.0,normal,0.000000,0.182777,0.098628
height,0.0,5.0,-20.0,-10.0,normal,0.000000,0.136262,0.088916
yaw,0.0,5.0,-20.0,-10.0,normal,0.000000,0.650372,0.184315
width,0.0,5.0,-20.0,-10.0,normal,0.000000,0.113978,0.078643
length,0.0,5.0,-20.0,-10.0,normal,0.000000,0.252553,0.124147
box_height,0.0,5.0,-20.0,-10.0,normal,0.000000,0.120514,0.079577
miss_detection,0.0,5.0,-10.0,0.0,constant,1.000000,,
distal,0.0,5.0,-10.0,0.0,normal,0.000000,0.173599,0.096635
perpendicular,0.0,5.0,-10.0,0.0,normal,0.000000,0.182777,0.098628
height,0.0,5.0,-10.0,0.0,normal,0.000000,0.136262,0.088916
yaw,0.0,5.0,-10.0,0.0,normal,0.000000,0.650372,0.184315
width,0.0,5.0,-10.0,0.0,normal,0.000000,0.113978,0.078643
length,0.0,5.0,-10.0,0.0,normal,0.000000,0.252553,0.124147
box_height,0.0,5.0,-10.0,0.0,normal,0.000000,0.120514,0.079577
miss_detection,0.0,5.0,0.0,10.0,constant,1.000000,,
distal,0.0,5.0,0.0,10.0,normal,0.000000,0.173599,0.096635
perpendicular,0.0,5.0,0.0,10.0,normal,0.000000,0.182777,0.098628
height,0.0,5.0,0.0,10.0,normal,0.000000,0.136262,0.088916
yaw,0.0,5.0,0.0,10.0,normal,0.000000,0.650372,0.184315
width,0.0,5.0,0.0,10.0,normal,0.000000,0.113978,0.078643
length,0.0,5.0,0.0,10.0,normal,0.000000,0.252553,0.124147
box_height,0.0,5.0,0.0,10.0,normal,0.000000,0.120514,0.079577
miss_detection,0.0,5.0,10.0,20.0,constant,1.000000,,
distal,0.0,5.0,10.0,20.0,normal,0.000000,0.173599,0.096635
perpendicular,0.0,5.0,10.0,20.0,normal,0.000000,0.182777,0.098628
