# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate
# score: P(score | TP, cell) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, cell) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame in cell), param2=n_fp

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
score,0.0,5.0,-130.0,-120.0,normal,0.6527397132971707,0.06801389627717778,111
fp_score,0.0,5.0,-130.0,-120.0,normal,0.19127489884312338,0.20387054463432616,39
fp_rate,0.0,5.0,-130.0,-120.0,poisson,0.005489092188599578,39,
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.125,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.11863077755387844,0.12225543684703939
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.1286196708234782,0.1522188776720584
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.060606562849133974,0.057895617825644355
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.04002601773007032,0.057247289224809116
width,0.0,5.0,-120.0,-110.0,normal,0.0,0.24452930425171893,0.3769507862272717
length,0.0,5.0,-120.0,-110.0,normal,0.0,0.11440142436284581,0.15646269491740636
box_height,0.0,5.0,-120.0,-110.0,normal,0.0,0.08021195886328993,0.07986372993105934
score,0.0,5.0,-120.0,-110.0,normal,0.5884412484509605,0.09831869589263825,48
fp_score,0.0,5.0,-120.0,-110.0,normal,0.10065443317095439,0.1308786377473376,33
fp_rate,0.0,5.0,-120.0,-110.0,poisson,0.004644616467276565,33,
miss_detection,0.0,5.0,-110.0,-100.0,constant,0.14285714285714285,,
distal,0.0,5.0,-110.0,-100.0,normal,0.0,0.10555313342750167,0.1429690347107881
perpendicular,0.0,5.0,-110.0,-100.0,normal,0.0,0.17006203285105376,0.17048135861814306
height,0.0,5.0,-110.0,-100.0,normal,0.0,0.06253397382174129,0.07192271451155345
yaw,0.0,5.0,-110.0,-100.0,normal,0.0,0.03879743622919133,0.05443767470488739
width,0.0,5.0,-110.0,-100.0,normal,0.0,0.34776996075156824,0.45186646779378253
length,0.0,5.0,-110.0,-100.0,normal,0.0,0.1493416797325843,0.1693981256749895
box_height,0.0,5.0,-110.0,-100.0,normal,0.0,0.10526099942083324,0.12540793087747362
score,0.0,5.0,-110.0,-100.0,normal,0.6153727438714769,0.09687550345758734,42
fp_score,0.0,5.0,-110.0,-100.0,normal,0.16025799486253942,0.18096609282562195,21
fp_rate,0.0,5.0,-110.0,-100.0,poisson,0.002955665024630542,21,
miss_detection,0.0,5.0,-100.0,-90.0,constant,0.14705882352941177,,
distal,0.0,5.0,-100.0,-90.0,normal,0.0,0.11508983395567894,0.163631871889607
perpendicular,0.0,5.0,-100.0,-90.0,normal,0.0,0.15223132185764487,0.2278224075210711
height,0.0,5.0,-100.0,-90.0,normal,0.0,0.04294295272650838,0.04610496553881415
yaw,0.0,5.0,-100.0,-90.0,normal,0.0,0.031659096977794066,0.04534931661529017
width,0.0,5.0,-100.0,-90.0,normal,0.0,0.26139283987156087,0.38722713240261736
length,0.0,5.0,-100.0,-90.0,normal,0.0,0.12566243760089268,0.1544053102361745
box_height,0.0,5.0,-100.0,-90.0,normal,0.0,0.07547204027408257,0.08477437907251818
score,0.0,5.0,-100.0,-90.0,normal,0.5204401180661958,0.09599932482695724,34
fp_score,0.0,5.0,-100.0,-90.0,normal,0.10023850670387578,0.0730118986340602,43
fp_rate,0.0,5.0,-100.0,-90.0,poisson,0.006052076002814919,43,
miss_detection,0.0,5.0,-90.0,-80.0,constant,0.5818181818181818,,
distal,0.0,5.0,-90.0,-80.0,normal,0.0,0.11603105110261704,0.13495988922402963
perpendicular,0.0,5.0,-90.0,-80.0,normal,0.0,0.13156360215872512,0.14522085262429157
height,0.0,5.0,-90.0,-80.0,normal,0.0,0.0657793952631146,0.06326378946718962
yaw,0.0,5.0,-90.0,-80.0,normal,0.0,0.03789479573233994,0.0520225166262168
width,0.0,5.0,-90.0,-80.0,normal,0.0,0.2477843382572959,0.3605649367622707
length,0.0,5.0,-90.0,-80.0,normal,0.0,0.10200613448582804,0.13347444326981253
box_height,0.0,5.0,-90.0,-80.0,normal,0.0,0.06263261871435903,0.08123526365860649
score,0.0,5.0,-90.0,-80.0,normal,0.5822225200093311,0.09816762008402037,55
fp_score,0.0,5.0,-90.0,-80.0,normal,0.14238624086772853,0.12116515203357889,110
fp_rate,0.0,5.0,-90.0,-80.0,poisson,0.015482054890921885,110,
miss_detection,0.0,5.0,-80.0,-70.0,constant,0.15384615384615385,,
distal,0.0,5.0,-80.0,-70.0,normal,0.0,0.11712979027684554,0.1264725811424321
perpendicular,0.0,5.0,-80.0,-70.0,normal,0.0,0.1436096906835627,0.16098454758265965
height,0.0,5.0,-80.0,-70.0,normal,0.0,0.07235218945266911,0.07731790976090865
yaw,0.0,5.0,-80.0,-70.0,normal,0.0,0.025777760748280087,0.03756838433345723
width,0.0,5.0,-80.0,-70.0,normal,0.0,0.3146662682704768,0.44721653244712134
length,0.0,5.0,-80.0,-70.0,normal,0.0,0.13430826519786004,0.1874996026357015
box_height,0.0,5.0,-80.0,-70.0,normal,0.0,0.09827630099028294,0.11594912500092477
score,0.0,5.0,-80.0,-70.0,normal,0.6376258026469838,0.11830568351941717,39
fp_score,0.0,5.0,-80.0,-70.0,normal,0.320337132550776,0.22639664821710595,40
fp_rate,0.0,5.0,-80.0,-70.0,poisson,0.005629838142153413,40,
miss_detection,0.0,5.0,-70.0,-60.0,constant,0.2222222222222222,,
distal,0.0,5.0,-70.0,-60.0,normal,0.0,0.12743106634402432,0.1665121498189355
perpendicular,0.0,5.0,-70.0,-60.0,normal,0.0,0.1358497154531188,0.20458857778199846
height,0.0,5.0,-70.0,-60.0,normal,0.0,0.06222860433234737,0.07918317261196318
yaw,0.0,5.0,-70.0,-60.0,normal,0.0,0.047800597624043435,0.047725705562957695
width,0.0,5.0,-70.0,-60.0,normal,0.0,0.2655093846876963,0.43211682069869267
length,0.0,5.0,-70.0,-60.0,normal,0.0,0.09311765966702193,0.15940992888950167
box_height,0.0,5.0,-70.0,-60.0,normal,0.0,0.048720305590430744,0.0665239209220523
score,0.0,5.0,-70.0,-60.0,normal,0.5743771273465383,0.12221079259853442,54
fp_score,0.0,5.0,-70.0,-60.0,normal,0.11672072400423614,0.14440031873258893,22
fp_rate,0.0,5.0,-70.0,-60.0,poisson,0.003096410978184377,22,
miss_detection,0.0,5.0,-60.0,-50.0,constant,0.21428571428571427,,
distal,0.0,5.0,-60.0,-50.0,normal,0.0,0.14779308837918478,0.20979670084162538
