# CenterPoint fine-tuned 54m on V2V4Real (astuff) - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
yaw,0.0,5.0,-70.0,-60.0,normal,0.0,0.039341,0.035866
width,0.0,5.0,-70.0,-60.0,normal,0.0,0.19893,0.186568
length,0.0,5.0,-70.0,-60.0,normal,0.0,0.091719,0.087817
box_height,0.0,5.0,-70.0,-60.0,normal,0.0,0.078094,0.090634
miss_detection,0.0,5.0,-60.0,-50.0,constant,0.014286,,
distal,0.0,5.0,-60.0,-50.0,normal,0.0,0.079057,0.073306
perpendicular,0.0,5.0,-60.0,-50.0,normal,0.0,0.107447,0.102734
height,0.0,5.0,-60.0,-50.0,normal,0.0,0.04981,0.060652
yaw,0.0,5.0,-60.0,-50.0,normal,0.0,0.027234,0.034492
width,0.0,5.0,-60.0,-50.0,normal,0.0,0.176879,0.148833
length,0.0,5.0,-60.0,-50.0,normal,0.0,0.098036,0.109949
box_height,0.0,5.0,-60.0,-50.0,normal,0.0,0.076023,0.092792
miss_detection,0.0,5.0,-50.0,-40.0,constant,0.0,,
distal,0.0,5.0,-50.0,-40.0,normal,0.0,0.069532,0.081606
perpendicular,0.0,5.0,-50.0,-40.0,normal,0.0,0.093107,0.126948
height,0.0,5.0,-50.0,-40.0,normal,0.0,0.048555,0.055895
yaw,0.0,5.0,-50.0,-40.0,normal,0.0,0.020185,0.028996
width,0.0,5.0,-50.0,-40.0,normal,0.0,0.261224,0.25638
length,0.0,5.0,-50.0,-40.0,normal,0.0,0.092617,0.147617
box_height,0.0,5.0,-50.0,-40.0,normal,0.0,0.059905,0.089738
miss_detection,0.0,5.0,-40.0,-30.0,constant,0.0,,
distal,0.0,5.0,-40.0,-30.0,normal,0.0,0.00305,0.009719
perpendicular,0.0,5.0,-40.0,-30.0,normal,0.0,0.084942,0.131412
height,0.0,5.0,-40.0,-30.0,normal,0.0,0.015867,0.029761
yaw,0.0,5.0,-40.0,-30.0,normal,0.0,0.022576,0.035631
width,0.0,5.0,-40.0,-30.0,normal,0.0,0.082056,0.195309
length,0.0,5.0,-40.0,-30.0,normal,0.0,0.023999,0.223492
box_height,0.0,5.0,-40.0,-30.0,normal,0.0,0.025659,0.036953
miss_detection,0.0,5.0,-30.0,-20.0,constant,1.0,,
miss_detection,0.0,5.0,-20.0,-10.0,constant,1.0,,
miss_detection,0.0,5.0,-10.0,0.0,constant,1.0,,
miss_detection,0.0,5.0,0.0,10.0,constant,1.0,,
miss_detection,0.0,5.0,10.0,20.0,constant,1.0,,
miss_detection,0.0,5.0,20.0,30.0,constant,1.0,,
