# DAIR-V2X-Seq SPD PointPillars (infrastructure node yizhuang10, train-calibrated)
# MAE linear: abs_error = intercept + slope * d ; quad: quad_a*d^2+quad_b*d+quad_c
# bias_*/std_*/var_*: signed-bias / std / variance fits (linear + quad in range)

error_type,intercept,slope,quad_a,quad_b,quad_c,bias_intercept,bias_slope,bias_quad_a,bias_quad_b,bias_quad_c,std_intercept,std_slope,std_quad_a,std_quad_b,std_quad_c,var_intercept,var_slope,var_quad_a,var_quad_b,var_quad_c,polar_a,polar_b,polar_c,polar_d,polar_std_a,polar_std_b,polar_std_c,polar_std_d,unit,notes
radial,0.0684844,0.000298896,1.39583e-05,-0.00104977,0.0928441,-0.0259024,-7.97057e-05,-7.76646e-06,0.000670702,-0.0394563,0.0780232,0.00114461,2.8589e-05,-0.00161771,0.127916,0.00371648,0.000336038,1.13846e-05,-0.000763959,0.0235846,-0.01354,-5.16398e-05,0.6,0.3,0.227575,0.00106399,-0.6,-0.137679,meters,Range error
lateral,0.0303575,0.000719318,-1.9442e-06,0.000907169,0.0269645,0.0133632,-0.000234295,3.42092e-06,-0.000564829,0.0193333,0.0425026,0.00113723,-1.57912e-06,0.00128981,0.0397468,7.93788e-05,0.000226991,2.28201e-07,0.000204942,0.00047763,0.126975,-0.00208567,-0.6,-0.3,0.298272,0.00377697,-0.6,-0.3,meters,Cross-range error
vertical,0.00679018,0.000771679,1.21142e-05,-0.000398816,0.0279317,0.00299279,9.2215e-05,9.88017e-06,-0.000862423,0.0202355,0.00816714,0.00113185,1.68055e-05,-0.000491931,0.0374959,-0.00278167,0.000159163,4.71933e-06,-0.000296827,0.00545442,0.00157436,5.12168e-05,0.6,0.3,0.0400057,0.00366628,-0.6,-0.229152,meters,Vertical error
yaw,0.0293496,0.000529732,-5.16473e-05,0.00551997,-0.0607843,0.0234012,-0.000336169,-1.58835e-05,0.00119852,-0.00431835,0.0562329,0.00217378,-0.000283855,0.0296003,-0.439145,0.0243307,0.000751696,-0.000168499,0.0170324,-0.269731,0.182644,-0.00255963,-0.6,-0.3,0.253365,0.00347018,-0.6,-0.3,radians,Heading angle
width,0.0541388,0.000755923,-1.13041e-05,0.00184815,0.0344111,-0.00636656,-0.000330657,3.11834e-06,-0.000631956,-0.000924489,0.0758545,0.000908188,-1.14512e-05,0.00201462,0.0558701,0.00488759,0.000208732,-2.21785e-06,0.000423024,0.00101704,-0.00536575,-0.000294722,0.426133,-0.299737,0.0951908,0.00132638,-0.246819,-0.193727,meters,Width error
length,0.0818729,0.0010102,-1.72077e-05,0.00267283,0.0518424,-0.0177517,-0.00019037,6.86383e-06,-0.000853564,-0.00577311,0.106013,0.00341735,1.32314e-05,0.00213891,0.129104,-0.000734541,0.00200231,1.75201e-05,0.00030949,0.0298413,-0.00892365,-0.000118142,0.599992,0.3,0.476929,0.00470419,-0.6,-0.239863,meters,Length error
box_height,0.0173532,0.000959304,5.19778e-06,0.000457085,0.0264243,-0.00157197,-0.000227481,-1.06112e-05,0.000797786,-0.0200904,0.0243022,0.00156147,4.69662e-06,0.00110768,0.0324987,-0.0036585,0.000316552,3.03282e-06,2.35159e-05,0.00163433,-0.0173034,-0.00158196,-0.6,-0.3,0.126123,0.0054454,-0.6,-0.267975,meters,Box height error
miss_rate,-0.121205,0.00625634,0.00017755,-0.0142245,0.310746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,rate,Miss rate
