# orb_slam3 Localization - Imported from evaluation results - ACCURATE (all errors /4)
# Linear model: abs_error = intercept + slope * velocity
# Quadratic model: abs_error = quad_c + quad_b*v + quad_a*v^2
# velocity in m/s, position errors in meters, orientation errors in radians

error_type,intercept,slope,quad_a,quad_b,quad_c,unit,notes
radial,0.10532954703706918,0.008204292475299956,-0.0005415145392598116,0.021232582617994676,0.04084573214701201,meters,X (forward) position error
lateral,0.08257101259650512,0.01188107880953869,-0.00010096209067127289,0.014310124228109284,0.07054839770114375,meters,Y (lateral) position error
vertical,0.12462178058466047,0.004102792656804452,-0.00042805017799197876,0.014401245440979793,0.07364935705745453,meters,Z (vertical) position error
roll,0.01076908172704099,-0.00030805905579736604,-2.6793195114409705e-05,0.0003365580218484137,0.0075785350125753305,radians,Roll angle error
pitch,0.0014809190357243415,1.3022061370259145e-05,4.349235802311487e-06,-9.161613728080924e-05,0.001998828151835637,radians,Pitch angle error
yaw,0.008432628417454516,2.6675683287614838e-05,-4.125934728490422e-05,0.0010193336980856922,0.0035194452618534456,radians,Yaw angle error
