# CenterPoint fine-tuned 54m on V2V4Real (tesla) - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
yaw,0.0,5.0,-70.0,-60.0,normal,0.0,0.04322,0.042483
width,0.0,5.0,-70.0,-60.0,normal,0.0,0.284593,0.305451
length,0.0,5.0,-70.0,-60.0,normal,0.0,0.101702,0.158324
box_height,0.0,5.0,-70.0,-60.0,normal,0.0,0.064697,0.089767
miss_detection,0.0,5.0,-60.0,-50.0,constant,0.0,,
distal,0.0,5.0,-60.0,-50.0,normal,0.0,0.112957,0.151714
perpendicular,0.0,5.0,-60.0,-50.0,normal,0.0,0.12822,0.119593
height,0.0,5.0,-60.0,-50.0,normal,0.0,0.05002,0.06065
yaw,0.0,5.0,-60.0,-50.0,normal,0.0,0.037691,0.045958
width,0.0,5.0,-60.0,-50.0,normal,0.0,0.305479,0.342335
length,0.0,5.0,-60.0,-50.0,normal,0.0,0.145579,0.180192
box_height,0.0,5.0,-60.0,-50.0,normal,0.0,0.094873,0.096734
miss_detection,0.0,5.0,-50.0,-40.0,constant,0.019608,,
distal,0.0,5.0,-50.0,-40.0,normal,0.0,0.117773,0.179947
perpendicular,0.0,5.0,-50.0,-40.0,normal,0.0,0.120831,0.17242
height,0.0,5.0,-50.0,-40.0,normal,0.0,0.047308,0.065154
yaw,0.0,5.0,-50.0,-40.0,normal,0.0,0.034786,0.040686
width,0.0,5.0,-50.0,-40.0,normal,0.0,0.297765,0.399171
length,0.0,5.0,-50.0,-40.0,normal,0.0,0.141722,0.151785
box_height,0.0,5.0,-50.0,-40.0,normal,0.0,0.07903,0.10605
miss_detection,0.0,5.0,-40.0,-30.0,constant,0.0,,
distal,0.0,5.0,-40.0,-30.0,normal,0.0,0.203977,0.281592
perpendicular,0.0,5.0,-40.0,-30.0,normal,0.0,0.067235,0.11576
height,0.0,5.0,-40.0,-30.0,normal,0.0,0.062561,0.080186
yaw,0.0,5.0,-40.0,-30.0,normal,0.0,0.040769,0.046412
width,0.0,5.0,-40.0,-30.0,normal,0.0,0.159283,0.25187
length,0.0,5.0,-40.0,-30.0,normal,0.0,0.126121,0.104481
box_height,0.0,5.0,-40.0,-30.0,normal,0.0,0.068144,0.076805
miss_detection,0.0,5.0,-30.0,-20.0,constant,1.0,,
miss_detection,0.0,5.0,-20.0,-10.0,constant,1.0,,
miss_detection,0.0,5.0,-10.0,0.0,constant,1.0,,
miss_detection,0.0,5.0,0.0,10.0,constant,1.0,,
miss_detection,0.0,5.0,10.0,20.0,constant,1.0,,
miss_detection,0.0,5.0,20.0,30.0,constant,1.0,,
miss_detection,0.0,5.0,30.0,40.0,constant,0.0,,
miss_detection,0.0,5.0,40.0,50.0,constant,0.0,,
distal,0.0,5.0,40.0,50.0,normal,0.0,0.095339,0.120114
perpendicular,0.0,5.0,40.0,50.0,normal,0.0,0.116995,0.129009
height,0.0,5.0,40.0,50.0,normal,0.0,0.041613,0.056464
yaw,0.0,5.0,40.0,50.0,normal,0.0,0.036595,0.041509
width,0.0,5.0,40.0,50.0,normal,0.0,0.274081,0.286138
length,0.0,5.0,40.0,50.0,normal,0.0,0.090592,0.127826
box_height,0.0,5.0,40.0,50.0,normal,0.0,0.063242,0.075318
miss_detection,0.0,5.0,50.0,60.0,constant,0.0,,
distal,0.0,5.0,50.0,60.0,normal,0.0,0.075026,0.097957
