# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate
# score: P(score | TP, cell) — param1=mean, param2=std, param3=n_matched
# fp_score: P(score | FP, cell) — param1=mean, param2=std, param3=n_fp
# fp_rate: poisson — param1=lambda (FPs/ego-frame in cell), param2=n_fp

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
fp_score,0.0,5.0,-130.0,-120.0,normal,0.18117184657603502,0.1500963250947814,8
fp_rate,0.0,5.0,-130.0,-120.0,poisson,0.0011259676284306826,8,
miss_detection,0.0,5.0,-120.0,-110.0,constant,0.030303030303030304,,
distal,0.0,5.0,-120.0,-110.0,normal,0.0,0.11463621152143669,0.14638595032361057
perpendicular,0.0,5.0,-120.0,-110.0,normal,0.0,0.16728796934566179,0.20610970824585023
height,0.0,5.0,-120.0,-110.0,normal,0.0,0.04888603840745028,0.05282317288219929
yaw,0.0,5.0,-120.0,-110.0,normal,0.0,0.05930995049060798,0.06010939310363028
width,0.0,5.0,-120.0,-110.0,normal,0.0,0.1846668835005874,0.21742519736289978
length,0.0,5.0,-120.0,-110.0,normal,0.0,0.07271663006933825,0.10078756883740425
box_height,0.0,5.0,-120.0,-110.0,normal,0.0,0.06221351728380323,0.09426727518439293
score,0.0,5.0,-120.0,-110.0,normal,0.5962871923111379,0.14107358883839421,33
fp_score,0.0,5.0,-120.0,-110.0,normal,0.0412602682526295,0.010485078065605268,13
fp_rate,0.0,5.0,-120.0,-110.0,poisson,0.0018296973961998593,13,
miss_detection,0.0,5.0,-110.0,-100.0,constant,0.04819277108433735,,
distal,0.0,5.0,-110.0,-100.0,normal,0.0,0.058085928883498554,0.10448118722191238
perpendicular,0.0,5.0,-110.0,-100.0,normal,0.0,0.07776850908093395,0.10194241738687862
height,0.0,5.0,-110.0,-100.0,normal,0.0,0.0441878963692367,0.036767881127852425
yaw,0.0,5.0,-110.0,-100.0,normal,0.0,0.03877478234712721,0.03251898657599438
width,0.0,5.0,-110.0,-100.0,normal,0.0,0.20095726064896774,0.16911330102365227
length,0.0,5.0,-110.0,-100.0,normal,0.0,0.06735120735862712,0.059920522231089915
box_height,0.0,5.0,-110.0,-100.0,normal,0.0,0.07086617519375496,0.06084587604184694
score,0.0,5.0,-110.0,-100.0,normal,0.7459670139264457,0.09780077879520493,83
fp_score,0.0,5.0,-110.0,-100.0,normal,0.05036606453359127,0.05945403152940522,23
fp_rate,0.0,5.0,-110.0,-100.0,poisson,0.0032371569317382123,23,
miss_detection,0.0,5.0,-100.0,-90.0,constant,0.023255813953488372,,
distal,0.0,5.0,-100.0,-90.0,normal,0.0,0.0687798696840796,0.09536452043181462
perpendicular,0.0,5.0,-100.0,-90.0,normal,0.0,0.2047182629443405,0.1794046969494995
height,0.0,5.0,-100.0,-90.0,normal,0.0,0.06879338111080197,0.057662851753688994
yaw,0.0,5.0,-100.0,-90.0,normal,0.0,0.031183790150884596,0.04093232905004351
width,0.0,5.0,-100.0,-90.0,normal,0.0,0.17267168065749436,0.15590507643563406
length,0.0,5.0,-100.0,-90.0,normal,0.0,0.07139614053639816,0.09582631644748506
box_height,0.0,5.0,-100.0,-90.0,normal,0.0,0.06465658513557411,0.07391127234413511
score,0.0,5.0,-100.0,-90.0,normal,0.6573691660804408,0.13799598864021928,43
fp_score,0.0,5.0,-100.0,-90.0,normal,0.14849825451771417,0.15735745255991693,12
fp_rate,0.0,5.0,-100.0,-90.0,poisson,0.001688951442646024,12,
miss_detection,0.0,5.0,-90.0,-80.0,constant,0.007194244604316547,,
distal,0.0,5.0,-90.0,-80.0,normal,0.0,0.11944947582674385,0.22822186729271982
perpendicular,0.0,5.0,-90.0,-80.0,normal,0.0,0.06766026766357902,0.13256250534493078
height,0.0,5.0,-90.0,-80.0,normal,0.0,0.05928235158818297,0.07925919907680457
yaw,0.0,5.0,-90.0,-80.0,normal,0.0,0.035028529048393965,0.06430306504599698
width,0.0,5.0,-90.0,-80.0,normal,0.0,0.12584410078673308,0.12623572004014166
length,0.0,5.0,-90.0,-80.0,normal,0.0,0.07797050065997907,0.21873767738756927
box_height,0.0,5.0,-90.0,-80.0,normal,0.0,0.04992510642285879,0.053586860497792564
score,0.0,5.0,-90.0,-80.0,normal,0.5372697974460713,0.08188569908502592,139
fp_score,0.0,5.0,-90.0,-80.0,normal,0.05829251300366152,0.0816137895359095,21
fp_rate,0.0,5.0,-90.0,-80.0,poisson,0.002955665024630542,21,
miss_detection,0.0,5.0,-80.0,-70.0,constant,0.0,,
distal,0.0,5.0,-80.0,-70.0,normal,0.0,0.08568594955249866,0.12030468566458594
perpendicular,0.0,5.0,-80.0,-70.0,normal,0.0,0.13126472268366723,0.13713219172626814
height,0.0,5.0,-80.0,-70.0,normal,0.0,0.05837255984865666,0.07330429979733058
yaw,0.0,5.0,-80.0,-70.0,normal,0.0,0.04258844138002346,0.05374962849808591
width,0.0,5.0,-80.0,-70.0,normal,0.0,0.20729605077517113,0.2383784226008824
length,0.0,5.0,-80.0,-70.0,normal,0.0,0.10191878047506905,0.12612259671801612
box_height,0.0,5.0,-80.0,-70.0,normal,0.0,0.039373118194722,0.05359535274051484
score,0.0,5.0,-80.0,-70.0,normal,0.6801972509849639,0.1356831509468236,42
fp_score,0.0,5.0,-80.0,-70.0,normal,0.06057442010690769,0.08012042974867137,24
fp_rate,0.0,5.0,-80.0,-70.0,poisson,0.003377902885292048,24,
miss_detection,0.0,5.0,-70.0,-60.0,constant,0.044444444444444446,,
distal,0.0,5.0,-70.0,-60.0,normal,0.0,0.0870267363975702,0.13455549273770007
perpendicular,0.0,5.0,-70.0,-60.0,normal,0.0,0.15639246474459437,0.15738537449942888
height,0.0,5.0,-70.0,-60.0,normal,0.0,0.05370769606189585,0.054212898709053214
yaw,0.0,5.0,-70.0,-60.0,normal,0.0,0.03679156092362283,0.04499992311845512
width,0.0,5.0,-70.0,-60.0,normal,0.0,0.21374172500608468,0.20595983017322628
length,0.0,5.0,-70.0,-60.0,normal,0.0,0.09423154266794367,0.10655314146086227
box_height,0.0,5.0,-70.0,-60.0,normal,0.0,0.06740167388080973,0.07922331399695817
score,0.0,5.0,-70.0,-60.0,normal,0.6554237465525783,0.13510676147936485,45
fp_score,0.0,5.0,-70.0,-60.0,normal,0.04366927949542349,0.04819173220873414,44
fp_rate,0.0,5.0,-70.0,-60.0,poisson,0.006192821956368754,44,
miss_detection,0.0,5.0,-60.0,-50.0,constant,0.03125,,
distal,0.0,5.0,-60.0,-50.0,normal,0.0,0.09930316010694043,0.11888436684531281
perpendicular,0.0,5.0,-60.0,-50.0,normal,0.0,0.1272187349950187,0.10558153717572476
height,0.0,5.0,-60.0,-50.0,normal,0.0,0.04194024971248748,0.053639598431125764
yaw,0.0,5.0,-60.0,-50.0,normal,0.0,0.027767015323055182,0.038324667230734764
width,0.0,5.0,-60.0,-50.0,normal,0.0,0.16192722289793438,0.15141328688590758
length,0.0,5.0,-60.0,-50.0,normal,0.0,0.09471782010219866,0.10607331798922631
