range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std,n_fp_car,n_fp_truck,n_fp_bus,n_fp_construction_vehicle,n_tp,n_tp_per_scen_mean,n_tp_per_scen_std,n_fn,n_fn_per_scen_mean,n_fn_per_scen_std,n_fp_total,n_fp_per_scen_mean,n_fp_per_scen_std,n_gt_tracks,n_gt_tracks_per_scen_mean,n_gt_tracks_per_scen_std,n_fp_clusters,n_fp_clusters_per_scen_mean,n_fp_clusters_per_scen_std,tp_lifetime_mean,tp_lifetime_std,fp_lifetime_mean,fp_lifetime_std,tp_p_match_per_track_mean,tp_p_match_per_track_std,fp_p_match_per_cluster_mean,fp_p_match_per_cluster_std,tp_dscore_mean,tp_dscore_std,fp_dscore_mean,fp_dscore_std,tp_fragments_per_track_mean,tp_fragments_per_track_std,fp_fragments_per_cluster_mean,fp_fragments_per_cluster_std,total_frames_with_gt,total_frames_with_fp,gt_density_per_scen_mean,gt_density_per_scen_std,fp_density_per_scen_mean,fp_density_per_scen_std
0.0,5.0,-180.0,-170.0,0,0,1.0,no_data,7,0.000875,,,0.18332419863768987,0.0869732572269601,,,,,,,,,,,,,,,,,,,5,2,0,0,0,0.0,0.0,0,0.0,0.0,20,0.5714285714285714,1.248672764766409,0,0.0,0.0,20,0.5714285714285714,1.248672764766409,,,1.0,0.0,,,1.0,0.0,,,,,,,1.0,0.0,0,16,0.0,0.0,0.0018262660519132187,0.003655872325180328
0.0,5.0,-170.0,-160.0,0,0,1.0,no_data,9,0.001125,,,0.22196636762883928,0.14141931160948137,,,,,,,,,,,,,,,,,,,3,4,0,2,0,0.0,0.0,0,0.0,0.0,29,0.8285714285714286,1.4037849710329424,0,0.0,0.0,28,0.8,1.389758457944607,,,1.25,1.299038105676658,,,1.0,0.0,,,-0.003428961549486433,0.06162194842101736,,,1.0,0.0,0,25,0.0,0.0,0.0034959777595183505,0.005642063614160157
0.0,5.0,-160.0,-150.0,0,0,1.0,no_data,4,0.0005,,,0.13307033851742744,0.03505759305883342,,,,,,,,,,,,,,,,,,,0,2,0,2,0,0.0,0.0,0,0.0,0.0,68,1.9428571428571428,2.994689176743744,0,0.0,0.0,60,1.7142857142857142,2.69996220684056,,,1.1666666666666667,0.6368324391514267,,,1.0,0.0,,,0.04074409082531929,0.05442140059023027,,,1.0,0.0,0,58,0.0,0.0,0.007395743197848164,0.010018856122348159
0.0,5.0,-150.0,-140.0,3,0,0.0,measured,23,0.002875,0.7634975711504618,0.033949362300781626,0.2759983539581299,0.1527696689035962,0.08146532376607259,0.07511432965596516,0.06186846892038981,0.07455187966460998,0.06697401076056993,0.017605365564425785,0.27246840794881183,0.08204913139343262,0.20689177513122559,0.007995909828495728,0.04705317821292578,0.027215212745367957,0.05494562512945886,0.0386545605349276,0.005952333736760185,0.27163943797358847,0.03969988889775227,0.13781298315422028,4,5,0,14,3,0.08571428571428572,0.27994168488950605,0,0.0,0.0,321,9.17142857142857,21.74328890128855,0,0.0,0.0,211,6.0285714285714285,8.735758088898473,,,1.4028436018957346,2.0032654548632935,,,1.0,0.0,,,0.013728854147826925,0.2954135947472391,,,1.0,0.0,3,298,0.0002921124598355218,0.0009556309212686412,0.03600883606973101,0.0743331797207041
0.0,5.0,-140.0,-130.0,51,2,0.0392156862745098,measured,236,0.0295,0.6868136096365598,0.16890372651241642,0.35873640966364895,0.1720119730759456,0.17716799950113102,0.07974846022469657,0.10749996559960502,0.1388735695329834,0.12230086671449748,0.029484651220523087,0.31504521077992964,0.14744613608535456,0.14549386501312256,0.12433539923011593,0.0755419812245995,0.06089287825010415,0.1285448811979955,0.09026096935185432,0.02277105272104363,0.2679849033839324,0.11893908410013672,0.14512939458578358,21,14,0,201,49,1.4,3.0161470218049473,2,0.05714285714285714,0.23211538298959888,600,17.142857142857142,25.688399668936572,0,0.0,0.0,497,14.2,20.74718569555192,,,1.3702213279678068,1.9177657584631782,,,1.0,0.0,,,0.008625203662592432,0.19509517066659202,,,1.0,0.0,51,566,0.00772499376679779,0.01713072967860035,0.07581432498474425,0.09810789766290604
0.0,5.0,-130.0,-120.0,113,65,0.5752212389380531,measured,600,0.075,0.6363488746186098,0.17643253351956795,0.4617315849289298,0.18488628628460615,0.2265211616953214,0.07312225302060445,0.11966438964009285,0.14133244734287134,0.18812191948902335,0.0349358101903976,0.39257622758547467,0.19162794202566147,0.19107379764318466,0.21245141729294395,0.05228609220680696,0.09262335040807178,0.10453563019058151,0.19553957524538224,0.022438721567337304,0.3363332507373628,0.1586297367189881,0.17702293194690472,14,26,1,559,48,1.3714285714285714,2.6086199338316174,65,1.8571428571428572,9.980388933568978,966,27.6,36.72072205950515,0,0.0,0.0,707,20.2,29.680970334542636,,,1.4441301272984441,2.4088894599017756,,,1.0,0.0,,,-0.0003031695107365869,0.21399601663365278,,,1.0,0.0,113,881,0.029966167181361036,0.13690133101842963,0.12766916651689342,0.16686405905546342
0.0,5.0,-120.0,-110.0,53,3,0.05660377358490566,measured,68,0.0085,0.7014422690868378,0.08812507280638432,0.39665033646366177,0.17393178610612411,0.19117417097091674,0.08961855411529542,0.14068637013435364,0.1262580202052136,0.17169611831326428,0.050572817308377795,0.3523594093322754,0.2194383692741394,0.11947036981582641,0.1913088485273809,0.08093071757085547,0.09308169051804961,0.10170479820396913,0.17878309420033753,0.04233467965716283,0.27388129387600874,0.12427295432983525,0.10288252287986782,7,17,1,43,50,1.4285714285714286,3.0358403335175987,3,0.08571428571428572,0.3681171064778607,312,8.914285714285715,14.72679080271526,0,0.0,0.0,216,6.171428571428572,9.006301648721028,,,1.7222222222222223,2.2082896571501984,,,1.0,0.0,,,0.001088868349026411,0.1395398228220456,,,1.0,0.0,53,279,0.006459465614090347,0.012609264707628893,0.03612367836929309,0.04972022143569612
0.0,5.0,-110.0,-100.0,55,9,0.16363636363636364,measured,36,0.0045,0.696702325473661,0.08505886725325422,0.28030928369197583,0.20711946103462647,0.19114522700724396,0.07213610151539677,0.10797255194705466,0.08408137899243597,0.185667063044706,0.05834604545797856,0.33785601284192956,0.209544591281725,0.12093758583068848,0.15011635817746785,0.061205193803211835,0.0965113778208156,0.08232751013525626,0.14036151955738357,0.05015640691237567,0.3230392992917257,0.12960601043316253,0.10518223730353944,14,15,0,7,46,1.3142857142857143,2.9352189363115033,9,0.2571428571428571,0.6477590885002648,220,6.285714285714286,9.382571772239448,0,0.0,0.0,159,4.542857142857143,6.330618823928476,,,1.3773584905660377,0.9294567648760336,,,1.0,0.0,,,0.009077632303039233,0.10130875930759742,,,1.0,0.0,55,177,0.0066609742273265925,0.011335100468466622,0.024243984651428612,0.035459372018857106
0.0,5.0,-100.0,-90.0,43,6,0.13953488372093023,measured,17,0.002125,0.6607816307931333,0.09261874962922735,0.26510530315777836,0.15637977087318014,0.25952765539389205,0.08513576275593526,0.1205962010332056,0.09841522942526856,0.25522772660213966,0.03908067298276586,0.40557080990559347,0.19252806418650859,0.09885275363922119,0.20467508053130218,0.05987116655347016,0.07995422047852437,0.061809864210726165,0.20354836787894137,0.03186936077348174,0.31597883761613244,0.11948858364375801,0.08730315651380913,11,5,0,1,37,1.0571428571428572,2.292133842300752,6,0.17142857142857143,0.5062870041905528,311,8.885714285714286,18.727781393383662,0,0.0,0.0,178,5.085714285714285,10.089234513144419,,,2.837078651685393,16.469289650075485,,,1.0,0.0,,,-0.0020288100711067154,0.08319749861060617,,,1.0,0.0,43,267,0.0052375688773934476,0.010137342877938466,0.028230138016918524,0.055552513162474254
0.0,5.0,-90.0,-80.0,64,2,0.03125,measured,49,0.006125,0.6101885346635696,0.10269312465140884,0.34704263812425185,0.16421796140905565,0.1524897466879338,0.07535012691251693,0.17220572598518863,0.07897015669160713,0.15067380306336836,0.04172647361382832,0.3238543079745385,0.14417857508505544,0.10488059251539168,0.1536054216480707,0.0646935296707632,0.10222051254772324,0.0678739165456491,0.15220017636949285,0.0383900701724008,0.2189993273603935,0.11009455497236578,0.08016006998278227,31,13,0,5,62,1.7714285714285714,4.7993196796791,2,0.05714285714285714,0.23211538298959888,373,10.657142857142857,21.458189055719973,0,0.0,0.0,212,6.057142857142857,10.788731839001171,,,1.8962264150943395,3.1411127858836694,,,1.0,0.0,,,0.0002378559034121664,0.13894736101608487,,,1.0,0.0,64,341,0.009495490512092978,0.030483618619585214,0.03550975738572729,0.0601353706756775
