range_lo,range_hi,angle_lo,angle_hi,gt_count,missed,miss_rate,source,n_fp,fp_per_frame,score_mean,score_std,fp_score_mean,fp_score_std,x_mean,y_mean,z_mean,distal_mean,perp_mean,yaw_mean,width_mean,length_mean,box_height_mean,x_std,y_std,z_std,distal_std,perp_std,yaw_std,width_std,length_std,box_height_std
0.0,5.0,-180.0,-170.0,0,0,0.02631578947368421,fallback,0,0.0,,,,,0.18346979503405902,0.12960611858205132,0.048062540940505855,0.16551199258041224,0.16106724437793699,0.046790316469339066,0.4069504351229281,0.20068727211117915,0.07515221868097188,0.17950237997087176,0.0973539870328523,0.04891290218943127,0.1278402323951596,0.14992602493181656,0.04007198950740164,0.41186927919118205,0.15246327508857327,0.07311387487155108
0.0,5.0,-170.0,-160.0,0,0,0.02631578947368421,fallback,0,0.0,,,,,0.18346979503405902,0.12960611858205132,0.048062540940505855,0.16551199258041224,0.16106724437793699,0.046790316469339066,0.4069504351229281,0.20068727211117915,0.07515221868097188,0.17950237997087176,0.0973539870328523,0.04891290218943127,0.1278402323951596,0.14992602493181656,0.04007198950740164,0.41186927919118205,0.15246327508857327,0.07311387487155108
0.0,5.0,-160.0,-150.0,0,0,0.02631578947368421,fallback,0,0.0,,,,,0.18346979503405902,0.12960611858205132,0.048062540940505855,0.16551199258041224,0.16106724437793699,0.046790316469339066,0.4069504351229281,0.20068727211117915,0.07515221868097188,0.17950237997087176,0.0973539870328523,0.04891290218943127,0.1278402323951596,0.14992602493181656,0.04007198950740164,0.41186927919118205,0.15246327508857327,0.07311387487155108
0.0,5.0,-150.0,-140.0,3,0,0.0,measured,1,0.00012733987011333248,0.7305060227711996,0.034326420844865445,0.24921941757202148,,0.13550639152526855,0.04850172996520996,0.08642754952112834,0.1340795420420808,0.0813277609696766,0.06014665588736534,0.27189938227335614,0.06895788510640462,0.17770294348398843,0.1061462695727832,0.028933055484764388,0.035794242431954504,0.08741495860088638,0.024200184130916996,0.027901713581010006,0.2013777921423263,0.02428686761318646,0.1252671916995925
0.0,5.0,-140.0,-130.0,49,0,0.0,measured,3,0.00038201961033999744,0.5849140201296125,0.09468537229907029,0.3305311252673467,0.103906071866775,0.13791939677024373,0.0945876423193484,0.060131577812895486,0.12677239463442572,0.10605408241340583,0.035627948077471584,0.3130056030896245,0.16135506240689024,0.09649542643099415,0.10417901839134294,0.07419267362545645,0.058897943833295295,0.10636905878136015,0.07545407658801272,0.02770459500921904,0.28547223572084285,0.13325890427117176,0.08450006829779098
0.0,5.0,-130.0,-120.0,105,1,0.009523809523809525,measured,13,0.0016554183114733223,0.6553459737736446,0.07074347778908313,0.4697152880521921,0.06723227190139028,0.09648278011725499,0.10799417128929725,0.06327593211944287,0.12187226720504021,0.08874739255899043,0.04642380922730528,0.24620585716687715,0.213362835920774,0.15941087557719305,0.10290651369194118,0.060073980895026025,0.053743968114093245,0.06783673142501002,0.08854112209745855,0.033555707707459755,0.23835221463928563,0.09217226155874013,0.07524496920657057
0.0,5.0,-120.0,-110.0,48,1,0.020833333333333332,measured,3,0.00038201961033999744,0.6059379266931656,0.10772714193580617,0.49089086055755615,0.09553541197445728,0.16853862113141,0.07668615909332925,0.05885181528456668,0.11191350047528617,0.1421101572274702,0.054340582678900747,0.34745187962308843,0.16889489711599148,0.08033703743143285,0.14734613227211082,0.07683349186284905,0.05898847506485882,0.11658652566429223,0.12485173460723074,0.040789834641160545,0.24766066045146723,0.11458422761824084,0.0755796754400308
0.0,5.0,-110.0,-100.0,49,0,0.0,measured,6,0.0007640392206799949,0.645349311585329,0.10973137868996001,0.4214448183774948,0.11206400148925273,0.16109551215658383,0.10332183448635802,0.07868877357366133,0.12210436958405745,0.1544819055374711,0.05225092666318678,0.37350259508405415,0.1858663558959961,0.11555653445574703,0.16674050617349748,0.08579053319572859,0.05732229762190553,0.09842137575127763,0.15273727144622415,0.038170032810668594,0.3271737343893081,0.13130576734568014,0.09158593389316115
0.0,5.0,-100.0,-90.0,40,2,0.05,measured,4,0.0005093594804533299,0.5825126288752807,0.1407929529806376,0.3663504496216774,0.08098136656219848,0.19980801889476807,0.1339759952143619,0.05626228451728821,0.14488504359910895,0.19208130127952042,0.048447941236908695,0.365921465974105,0.18013256788253784,0.09323382063915855,0.15942894923875325,0.09676033202861896,0.04459608115012995,0.10782075839099643,0.1521208247349226,0.03637110121703306,0.23655558964791712,0.12042313949506211,0.06716475746092636
0.0,5.0,-90.0,-80.0,33,1,0.030303030303030304,measured,18,0.0022921176620399847,0.6360187102109194,0.12520135331250754,0.4008782489432229,0.04307586594883655,0.12372370353841688,0.12023770809173584,0.059001022949814796,0.12346712646632506,0.12498907979061787,0.047712597421195824,0.3461878150701523,0.17293816059827805,0.0981610007584095,0.12160016600062856,0.10493397883272278,0.057629517058962854,0.1023923163482362,0.11921331183029883,0.03470233621015694,0.2147319415035358,0.10993465596857374,0.05964034299193549
