Metric,Value
config_name,localization_10pct
run_id,9
total_steps,2500
recorded_steps,2000
wall_time_seconds,56.551883935928345
avg_cav_amota,0.9924977644521596
avg_cis_amota,0.9875214189830158
avg_global_amota,0.47628612854226726
cav_total_mse_violations_gt,11422
cav_total_mse_violations_sensor,11419
cav_total_ttc_violations_gt,3172
cav_total_ttc_violations_sensor,2894
cav_true_positives_mse,11416
cav_false_positives_mse,3
cav_false_negatives_mse,6
cav_true_positives_ttc,2426
cav_false_positives_ttc,468
cav_false_negatives_ttc,746
cav_amota,6289.458333333336
cav_total_mse_violations_gt_av,2167
cav_total_mse_violations_gt_non_av,9255
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,11419
cav_total_ttc_violations_gt_av,186
cav_total_ttc_violations_gt_non_av,2986
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2894
cis_total_mse_violations_gt,7584
cis_total_mse_violations_sensor,7582
cis_total_ttc_violations_gt,595
cis_total_ttc_violations_sensor,601
cis_true_positives_mse,7580
cis_false_positives_mse,2
cis_false_negatives_mse,4
cis_true_positives_ttc,586
cis_false_positives_ttc,15
cis_false_negatives_ttc,9
cis_amota,1954.3048881673883
cis_total_mse_violations_gt_av,920
cis_total_mse_violations_gt_non_av,6664
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7582
cis_total_ttc_violations_gt_av,99
cis_total_ttc_violations_gt_non_av,496
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,601
global_total_mse_violations_gt,108235
global_total_mse_violations_sensor,131898
global_total_ttc_violations_gt,38664
global_total_ttc_violations_sensor,51335
global_true_positives_mse,102406
global_false_positives_mse,29492
global_false_negatives_mse,5829
global_true_positives_ttc,34183
global_false_positives_ttc,17152
global_false_negatives_ttc,4481
global_amota,928.7579506574211
global_total_mse_violations_gt_av,15293
global_total_mse_violations_gt_non_av,92942
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,131898
global_total_ttc_violations_gt_av,4573
global_total_ttc_violations_gt_non_av,34091
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,51335
