Metric,Value
config_name,mal_add_100pct_notrust
run_id,8
total_steps,7000
recorded_steps,5000
wall_time_seconds,473.73079681396484
avg_cav_amota,0.9947898114223026
avg_cis_amota,0.9905959447024419
avg_global_amota,0.4125672764815399
cav_total_mse_violations_gt,59637
cav_total_mse_violations_sensor,59633
cav_total_ttc_violations_gt,21737
cav_total_ttc_violations_sensor,18748
cav_true_positives_mse,59620
cav_false_positives_mse,13
cav_false_negatives_mse,17
cav_true_positives_ttc,16030
cav_false_positives_ttc,2718
cav_false_negatives_ttc,5707
cav_amota,26196.794893994916
cav_total_mse_violations_gt_av,5186
cav_total_mse_violations_gt_non_av,54451
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,59633
cav_total_ttc_violations_gt_av,1582
cav_total_ttc_violations_gt_non_av,20155
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,18748
cis_total_mse_violations_gt,24796
cis_total_mse_violations_sensor,24793
cis_total_ttc_violations_gt,1790
cis_total_ttc_violations_sensor,1801
cis_true_positives_mse,24778
cis_false_positives_mse,15
cis_false_negatives_mse,18
cis_true_positives_ttc,1757
cis_false_positives_ttc,44
cis_false_negatives_ttc,33
cis_amota,4939.111380286376
cis_total_mse_violations_gt_av,2246
cis_total_mse_violations_gt_non_av,22550
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24793
cis_total_ttc_violations_gt_av,130
cis_total_ttc_violations_gt_non_av,1660
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1801
global_total_mse_violations_gt,819361
global_total_mse_violations_sensor,976679
global_total_ttc_violations_gt,315969
global_total_ttc_violations_sensor,392782
global_true_positives_mse,796452
global_false_positives_mse,180227
global_false_negatives_mse,22909
global_true_positives_ttc,290409
global_false_positives_ttc,102373
global_false_negatives_ttc,25560
global_amota,2038.4949130952887
global_total_mse_violations_gt_av,69297
global_total_mse_violations_gt_non_av,750064
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,976679
global_total_ttc_violations_gt_av,22000
global_total_ttc_violations_gt_non_av,293969
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,392782
