Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,3,0.5460,0.0363,0.9906,0.0025,0.9922,0.0025,1.00,1.73,3
baseline_notrust,3,0.5742,0.0516,0.9903,0.0033,0.9921,0.0022,1.67,2.08,5
extrinsics_5deg_trust,3,0.5158,0.0369,0.9886,0.0022,0.9897,0.0040,0.00,0.00,0
extrinsics_5deg_notrust,3,0.5047,0.0713,0.9877,0.0002,0.9791,0.0194,0.33,0.58,1
localization_50pct_trust,3,0.5785,0.0278,0.9910,0.0015,0.9494,0.0717,0.67,1.15,2
localization_50pct_notrust,3,0.5696,0.0700,0.9916,0.0021,0.9897,0.0036,0.67,1.15,2
mal_remove_50pct_trust,3,0.5324,0.0429,0.9909,0.0013,0.9901,0.0024,0.00,0.00,0
mal_remove_50pct_notrust,3,0.4725,0.0465,0.9906,0.0027,0.9931,0.0032,0.67,1.15,2
mal_add_50pct_trust,3,0.5582,0.0637,0.9909,0.0024,0.9885,0.0045,1.33,1.53,4
mal_add_50pct_notrust,3,0.5442,0.0650,0.9891,0.0015,0.9907,0.0049,0.00,0.00,0
mal_convoy_50pct_trust,3,0.5706,0.0377,0.9876,0.0005,0.9882,0.0025,1.33,1.53,4
mal_convoy_50pct_notrust,3,0.4808,0.0660,0.9903,0.0005,0.9956,0.0049,0.00,0.00,0
