Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.4505,0.0413,0.9906,0.0007,0.9943,0.0006,0.00,0.00,0
baseline_notrust,10,0.4471,0.0370,0.9906,0.0007,0.9944,0.0006,0.10,0.32,1
extrinsics_5deg_trust,10,0.4356,0.0299,0.9907,0.0007,0.9813,0.0107,0.00,0.00,0
extrinsics_5deg_notrust,10,0.4488,0.0306,0.9905,0.0005,0.9894,0.0064,0.00,0.00,0
localization_50pct_trust,10,0.4290,0.0259,0.9909,0.0009,0.9782,0.0120,0.10,0.32,1
localization_50pct_notrust,10,0.4526,0.0353,0.9908,0.0004,0.9796,0.0100,0.00,0.00,0
mal_remove_50pct_trust,10,0.4489,0.0351,0.9906,0.0007,0.9944,0.0005,0.10,0.32,1
mal_remove_50pct_notrust,10,0.4651,0.0470,0.9907,0.0004,0.9941,0.0006,0.00,0.00,0
mal_add_50pct_trust,10,0.4424,0.0313,0.9909,0.0005,0.9943,0.0006,0.00,0.00,0
mal_add_50pct_notrust,10,0.4757,0.0303,0.9909,0.0006,0.9940,0.0006,0.00,0.00,0
mal_convoy_50pct_trust,10,0.4323,0.0291,0.9905,0.0005,0.9942,0.0006,0.00,0.00,0
mal_convoy_50pct_notrust,10,0.4524,0.0242,0.9907,0.0003,0.9942,0.0004,0.00,0.00,0
high_miss_50pct_trust,10,0.4642,0.0237,0.9906,0.0008,0.9940,0.0008,0.00,0.00,0
high_miss_50pct_notrust,10,0.4628,0.0206,0.9906,0.0006,0.9942,0.0004,0.00,0.00,0
lag_5steps_trust,10,0.4530,0.0238,0.9909,0.0005,0.9945,0.0005,0.00,0.00,0
lag_5steps_notrust,10,0.4532,0.0376,0.9908,0.0006,0.9939,0.0008,0.00,0.00,0
