Metric,Value
config_name,mal_convoy_80pct
run_id,1
total_steps,2500
recorded_steps,2000
wall_time_seconds,42.512086391448975
avg_cav_amota,0.9944401697885749
avg_cis_amota,0.9907693115836191
avg_global_amota,0.43776193723693885
cav_total_mse_violations_gt,6818
cav_total_mse_violations_sensor,6816
cav_total_ttc_violations_gt,2676
cav_total_ttc_violations_sensor,2630
cav_true_positives_mse,6814
cav_false_positives_mse,2
cav_false_negatives_mse,4
cav_true_positives_ttc,2405
cav_false_positives_ttc,225
cav_false_negatives_ttc,271
cav_amota,3211.047308247308
cav_total_mse_violations_gt_av,1066
cav_total_mse_violations_gt_non_av,5752
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,6816
cav_total_ttc_violations_gt_av,98
cav_total_ttc_violations_gt_non_av,2578
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2630
cis_total_mse_violations_gt,7543
cis_total_mse_violations_sensor,7544
cis_total_ttc_violations_gt,575
cis_total_ttc_violations_sensor,582
cis_true_positives_mse,7541
cis_false_positives_mse,3
cis_false_negatives_mse,2
cis_true_positives_ttc,564
cis_false_positives_ttc,18
cis_false_negatives_ttc,11
cis_amota,1952.8063131313133
cis_total_mse_violations_gt_av,281
cis_total_mse_violations_gt_non_av,7262
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7544
cis_total_ttc_violations_gt_av,104
cis_total_ttc_violations_gt_non_av,471
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,582
global_total_mse_violations_gt,76636
global_total_mse_violations_sensor,97711
global_total_ttc_violations_gt,27660
global_total_ttc_violations_sensor,36841
global_true_positives_mse,72435
global_false_positives_mse,25276
global_false_negatives_mse,4201
global_true_positives_ttc,24270
global_false_positives_ttc,12571
global_false_negatives_ttc,3390
global_amota,799.7910593318873
global_total_mse_violations_gt_av,6451
global_total_mse_violations_gt_non_av,70185
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,97711
global_total_ttc_violations_gt_av,866
global_total_ttc_violations_gt_non_av,26794
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,36841
