Metric,Value
config_name,extrinsics_5pct
run_id,3
total_steps,7000
recorded_steps,5000
wall_time_seconds,335.54756236076355
avg_cav_amota,0.9924275241686356
avg_cis_amota,0.9911048513924623
avg_global_amota,0.48213755228731536
cav_total_mse_violations_gt,62266
cav_total_mse_violations_sensor,62261
cav_total_ttc_violations_gt,19210
cav_total_ttc_violations_sensor,17249
cav_true_positives_mse,62232
cav_false_positives_mse,29
cav_false_negatives_mse,34
cav_true_positives_ttc,15633
cav_false_positives_ttc,1616
cav_false_negatives_ttc,3577
cav_amota,24173.549633699626
cis_total_mse_violations_gt,24688
cis_total_mse_violations_sensor,24686
cis_total_ttc_violations_gt,1832
cis_total_ttc_violations_sensor,1821
cis_true_positives_mse,24670
cis_false_positives_mse,16
cis_false_negatives_mse,18
cis_true_positives_ttc,1790
cis_false_positives_ttc,31
cis_false_negatives_ttc,42
cis_amota,4927.773321123323
global_total_mse_violations_gt,766454
global_total_mse_violations_sensor,917836
global_total_ttc_violations_gt,296852
global_total_ttc_violations_sensor,367988
global_true_positives_mse,745223
global_false_positives_mse,172613
global_false_negatives_mse,21231
global_true_positives_ttc,275161
global_false_positives_ttc,92827
global_false_negatives_ttc,21691
global_amota,2379.8309580901887
