Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std)
baseline,1,0.5790,0.0000,0.9960,0.0000,0.0000,0.0000
extrinsics_1pct,1,0.6283,0.0000,0.9958,0.0000,0.9839,0.0000
extrinsics_2pct,1,0.5993,0.0000,0.9907,0.0000,0.9903,0.0000
extrinsics_3pct,1,0.6451,0.0000,0.9931,0.0000,0.9936,0.0000
extrinsics_4pct,1,0.6345,0.0000,0.9868,0.0000,0.9920,0.0000
extrinsics_5pct,1,0.6261,0.0000,0.9918,0.0000,0.9938,0.0000
extrinsics_6pct,1,0.6230,0.0000,0.9944,0.0000,0.9913,0.0000
extrinsics_7pct,1,0.6298,0.0000,0.9968,0.0000,0.0000,0.0000
extrinsics_8pct,1,0.5394,0.0000,0.9895,0.0000,0.9922,0.0000
extrinsics_9pct,1,0.6232,0.0000,0.9938,0.0000,0.9989,0.0000
extrinsics_10pct,1,0.5620,0.0000,0.9905,0.0000,0.9894,0.0000
localization_1pct,1,0.6018,0.0000,0.9957,0.0000,0.0000,0.0000
localization_2pct,1,0.6610,0.0000,0.9909,0.0000,0.9906,0.0000
localization_3pct,1,0.5914,0.0000,0.9932,0.0000,0.0000,0.0000
localization_4pct,1,0.6409,0.0000,0.9924,0.0000,0.9961,0.0000
localization_5pct,1,0.5968,0.0000,0.9894,0.0000,0.9914,0.0000
localization_6pct,1,0.6624,0.0000,0.9931,0.0000,0.9819,0.0000
localization_7pct,1,0.6205,0.0000,0.9955,0.0000,0.9856,0.0000
localization_8pct,1,0.5587,0.0000,0.9926,0.0000,0.9919,0.0000
localization_9pct,1,0.6532,0.0000,1.0000,0.0000,0.9840,0.0000
localization_10pct,1,0.5393,0.0000,0.9914,0.0000,0.9938,0.0000
mal_remove_1pct,1,0.6275,0.0000,0.9977,0.0000,0.9896,0.0000
mal_remove_2pct,1,0.5202,0.0000,0.9919,0.0000,1.0000,0.0000
mal_remove_3pct,1,0.5554,0.0000,0.9895,0.0000,0.9964,0.0000
mal_remove_4pct,1,0.6767,0.0000,0.9914,0.0000,0.9965,0.0000
mal_remove_5pct,1,0.6089,0.0000,0.9923,0.0000,0.9936,0.0000
mal_remove_6pct,1,0.6127,0.0000,0.9914,0.0000,0.9961,0.0000
mal_remove_7pct,1,0.5247,0.0000,0.9942,0.0000,1.0000,0.0000
mal_remove_8pct,1,0.6241,0.0000,0.9966,0.0000,0.9956,0.0000
mal_remove_9pct,1,0.6176,0.0000,0.9967,0.0000,0.0000,0.0000
mal_remove_10pct,1,0.5498,0.0000,0.9952,0.0000,0.9971,0.0000
mal_add_1pct,1,0.6214,0.0000,0.9949,0.0000,1.0000,0.0000
mal_add_2pct,1,0.6102,0.0000,0.9961,0.0000,0.9952,0.0000
mal_add_3pct,1,0.5936,0.0000,0.9949,0.0000,0.0000,0.0000
mal_add_4pct,1,0.6328,0.0000,0.9939,0.0000,1.0000,0.0000
mal_add_5pct,1,0.6343,0.0000,0.9945,0.0000,0.0000,0.0000
mal_add_6pct,1,0.6562,0.0000,0.9851,0.0000,0.9864,0.0000
mal_add_7pct,1,0.6054,0.0000,0.9965,0.0000,1.0000,0.0000
mal_add_8pct,1,0.6136,0.0000,0.9990,0.0000,0.0000,0.0000
mal_add_9pct,1,0.6165,0.0000,0.9980,0.0000,0.9874,0.0000
mal_add_10pct,1,0.5574,0.0000,0.9928,0.0000,0.9913,0.0000
mal_convoy_1pct,1,0.5728,0.0000,0.9972,0.0000,1.0000,0.0000
mal_convoy_2pct,1,0.6319,0.0000,1.0000,0.0000,0.9972,0.0000
mal_convoy_3pct,1,0.6324,0.0000,0.9961,0.0000,0.0000,0.0000
mal_convoy_4pct,1,0.5437,0.0000,0.9974,0.0000,0.9980,0.0000
mal_convoy_5pct,1,0.6609,0.0000,0.9959,0.0000,0.9957,0.0000
mal_convoy_6pct,1,0.6476,0.0000,0.9964,0.0000,0.9945,0.0000
mal_convoy_7pct,1,0.6008,0.0000,0.9990,0.0000,0.0000,0.0000
mal_convoy_8pct,1,0.6239,0.0000,0.9974,0.0000,0.9867,0.0000
mal_convoy_9pct,1,0.5802,0.0000,0.9894,0.0000,0.0000,0.0000
mal_convoy_10pct,1,0.5911,0.0000,0.9911,0.0000,0.0000,0.0000
