Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,5,0.4515,0.0788,0.9909,0.0011,0.9953,0.0013,0.00,0.00,0
baseline_notrust,5,0.4590,0.0478,0.9910,0.0012,0.9938,0.0013,0.00,0.00,0
extrinsics_5deg_trust,5,0.4399,0.0584,0.9907,0.0009,0.9790,0.0120,0.00,0.00,0
extrinsics_5deg_notrust,5,0.4336,0.0503,0.9901,0.0016,0.9823,0.0230,0.00,0.00,0
localization_50pct_trust,5,0.4039,0.0378,0.9905,0.0007,0.9925,0.0041,0.00,0.00,0
localization_50pct_notrust,5,0.3957,0.0538,0.9909,0.0007,0.9678,0.0285,0.00,0.00,0
mal_remove_50pct_trust,5,0.4219,0.0214,0.9907,0.0008,0.9956,0.0012,0.00,0.00,0
mal_remove_50pct_notrust,5,0.4342,0.0672,0.9910,0.0007,0.9951,0.0013,0.00,0.00,0
mal_add_50pct_trust,5,0.4439,0.0541,0.9913,0.0009,0.9952,0.0008,0.00,0.00,0
mal_add_50pct_notrust,5,0.3934,0.0539,0.9912,0.0016,0.9956,0.0018,0.00,0.00,0
mal_convoy_50pct_trust,5,0.4329,0.0219,0.9908,0.0013,0.9947,0.0010,0.00,0.00,0
mal_convoy_50pct_notrust,5,0.4612,0.0524,0.9904,0.0007,0.9933,0.0017,0.00,0.00,0
high_miss_50pct_trust,5,0.4324,0.0345,0.9905,0.0011,0.9953,0.0009,0.00,0.00,0
high_miss_50pct_notrust,5,0.4593,0.0209,0.9909,0.0009,0.9945,0.0010,0.00,0.00,0
lag_5steps_trust,5,0.4144,0.0525,0.9908,0.0010,0.9949,0.0009,0.00,0.00,0
lag_5steps_notrust,5,0.4582,0.0513,0.9904,0.0016,0.9937,0.0015,0.00,0.00,0
