Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,1,0.6912,0.0000,0.9932,0.0000,0.0000,0.0000,0.00,0.00,0
baseline_notrust,1,0.6806,0.0000,0.9964,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_trust,1,0.6794,0.0000,0.9907,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_notrust,1,0.7606,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
localization_50pct_trust,1,0.6779,0.0000,0.9930,0.0000,0.0000,0.0000,0.00,0.00,0
localization_50pct_notrust,1,0.6861,0.0000,0.9916,0.0000,0.0000,0.0000,0.00,0.00,0
mal_remove_50pct_trust,1,0.6723,0.0000,0.9841,0.0000,0.9951,0.0000,0.00,0.00,0
mal_remove_50pct_notrust,1,0.6051,0.0000,1.0000,0.0000,1.0000,0.0000,0.00,0.00,0
mal_add_50pct_trust,1,0.7041,0.0000,0.9932,0.0000,0.9932,0.0000,0.00,0.00,0
mal_add_50pct_notrust,1,0.7003,0.0000,0.9952,0.0000,0.0000,0.0000,0.00,0.00,0
mal_convoy_50pct_trust,1,0.6844,0.0000,0.9898,0.0000,0.0000,0.0000,0.00,0.00,0
mal_convoy_50pct_notrust,1,0.6380,0.0000,0.9933,0.0000,0.0000,0.0000,0.00,0.00,0
high_miss_50pct_trust,1,0.6588,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
high_miss_50pct_notrust,1,0.6375,0.0000,0.9966,0.0000,1.0000,0.0000,0.00,0.00,0
lag_5steps_trust,1,0.7029,0.0000,1.0000,0.0000,0.9960,0.0000,0.00,0.00,0
lag_5steps_notrust,1,0.6950,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
