Metric,Value
config_name,extrinsics_6deg_trust
run_id,6
total_steps,15000
recorded_steps,10000
wall_time_seconds,1693.4992413520813
avg_cav_amota,0.985201947008022
avg_cis_amota,0.991580154450634
avg_global_amota,0.42756612882396466
cav_total_mse_violations_gt,202670
cav_total_mse_violations_sensor,202420
cav_total_ttc_violations_gt,68701
cav_total_ttc_violations_sensor,57176
cav_true_positives_mse,202308
cav_false_positives_mse,112
cav_false_negatives_mse,362
cav_true_positives_ttc,49473
cav_false_positives_ttc,7703
cav_false_negatives_ttc,19228
cav_amota,72873.41761628937
cav_total_mse_violations_gt_av,23303
cav_total_mse_violations_gt_non_av,179367
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,202420
cav_total_ttc_violations_gt_av,6152
cav_total_ttc_violations_gt_non_av,62549
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,57176
cis_total_mse_violations_gt,52446
cis_total_mse_violations_sensor,52445
cis_total_ttc_violations_gt,3782
cis_total_ttc_violations_sensor,3792
cis_true_positives_mse,52409
cis_false_positives_mse,36
cis_false_negatives_mse,37
cis_true_positives_ttc,3706
cis_false_positives_ttc,86
cis_false_negatives_ttc,76
cis_amota,9894.978361262876
cis_total_mse_violations_gt_av,6836
cis_total_mse_violations_gt_non_av,45610
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,52445
cis_total_ttc_violations_gt_av,256
cis_total_ttc_violations_gt_non_av,3526
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,3792
global_total_mse_violations_gt,2784488
global_total_mse_violations_sensor,3392026
global_total_ttc_violations_gt,1124320
global_total_ttc_violations_sensor,1378489
global_true_positives_mse,2719374
global_false_positives_mse,672652
global_false_negatives_mse,65114
global_true_positives_ttc,1042176
global_false_positives_ttc,336313
global_false_negatives_ttc,82144
global_amota,4199.982083437805
global_total_mse_violations_gt_av,297174
global_total_mse_violations_gt_non_av,2487314
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,3392026
global_total_ttc_violations_gt_av,114031
global_total_ttc_violations_gt_non_av,1010289
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,1378489
