Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std)
baseline,1,0.6137,0.0000,0.9931,0.0000,1.0000,0.0000
extrinsics_1pct,1,0.6101,0.0000,0.9917,0.0000,0.9931,0.0000
extrinsics_2pct,1,0.5367,0.0000,0.9896,0.0000,0.9944,0.0000
extrinsics_3pct,1,0.6179,0.0000,0.9920,0.0000,0.9927,0.0000
extrinsics_4pct,1,0.6064,0.0000,0.9943,0.0000,0.9958,0.0000
extrinsics_5pct,1,0.5972,0.0000,0.9962,0.0000,0.0000,0.0000
extrinsics_6pct,1,0.6286,0.0000,0.9895,0.0000,0.9799,0.0000
extrinsics_7pct,1,0.6328,0.0000,0.9941,0.0000,0.9912,0.0000
extrinsics_8pct,1,0.6234,0.0000,0.9977,0.0000,0.9957,0.0000
extrinsics_9pct,1,0.5602,0.0000,0.9955,0.0000,0.9948,0.0000
extrinsics_10pct,1,0.6249,0.0000,0.9914,0.0000,0.9769,0.0000
localization_1pct,1,0.6041,0.0000,0.9925,0.0000,0.0000,0.0000
localization_2pct,1,0.6190,0.0000,0.9915,0.0000,0.9802,0.0000
localization_3pct,1,0.6873,0.0000,0.9883,0.0000,0.9894,0.0000
localization_4pct,1,0.6309,0.0000,0.9980,0.0000,0.0000,0.0000
localization_5pct,1,0.6436,0.0000,0.9928,0.0000,0.9888,0.0000
localization_6pct,1,0.6075,0.0000,0.9961,0.0000,1.0000,0.0000
localization_7pct,1,0.6359,0.0000,0.9942,0.0000,0.0000,0.0000
localization_8pct,1,0.6414,0.0000,0.9918,0.0000,0.9766,0.0000
localization_9pct,1,0.6272,0.0000,0.9953,0.0000,0.0000,0.0000
localization_10pct,1,0.5350,0.0000,0.9968,0.0000,0.9983,0.0000
mal_remove_1pct,1,0.6195,0.0000,0.9905,0.0000,0.9951,0.0000
mal_remove_2pct,1,0.6219,0.0000,0.9987,0.0000,0.0000,0.0000
mal_remove_3pct,1,0.6786,0.0000,0.9916,0.0000,0.9902,0.0000
mal_remove_4pct,1,0.5863,0.0000,0.9925,0.0000,0.0000,0.0000
mal_remove_5pct,1,0.5959,0.0000,0.9983,0.0000,0.0000,0.0000
mal_remove_6pct,1,0.6147,0.0000,0.9916,0.0000,0.0000,0.0000
mal_remove_7pct,1,0.6386,0.0000,0.9918,0.0000,1.0000,0.0000
mal_remove_8pct,1,0.5639,0.0000,0.9886,0.0000,0.9927,0.0000
mal_remove_9pct,1,0.6548,0.0000,0.9987,0.0000,0.9874,0.0000
mal_remove_10pct,1,0.6749,0.0000,0.9913,0.0000,0.9896,0.0000
mal_add_1pct,1,0.6069,0.0000,0.9948,0.0000,0.0000,0.0000
mal_add_2pct,1,0.5220,0.0000,0.9914,0.0000,1.0000,0.0000
mal_add_3pct,1,0.5648,0.0000,0.9935,0.0000,0.9951,0.0000
mal_add_4pct,1,0.6425,0.0000,0.9932,0.0000,0.9877,0.0000
mal_add_5pct,1,0.6418,0.0000,0.9937,0.0000,0.9951,0.0000
mal_add_6pct,1,0.5985,0.0000,0.9967,0.0000,0.9805,0.0000
mal_add_7pct,1,0.5878,0.0000,0.9970,0.0000,0.9969,0.0000
mal_add_8pct,1,0.5748,0.0000,0.9918,0.0000,0.9935,0.0000
mal_add_9pct,1,0.6194,0.0000,0.9967,0.0000,0.0000,0.0000
mal_add_10pct,1,0.6315,0.0000,0.9952,0.0000,0.0000,0.0000
mal_convoy_1pct,1,0.6314,0.0000,0.9947,0.0000,0.0000,0.0000
mal_convoy_2pct,1,0.6449,0.0000,0.9966,0.0000,0.9941,0.0000
mal_convoy_3pct,1,0.6424,0.0000,0.9970,0.0000,0.9924,0.0000
mal_convoy_4pct,1,0.5601,0.0000,0.9971,0.0000,0.9930,0.0000
mal_convoy_5pct,1,0.6091,0.0000,0.9949,0.0000,0.9931,0.0000
mal_convoy_6pct,1,0.6029,0.0000,0.9888,0.0000,0.0000,0.0000
mal_convoy_7pct,1,0.6372,0.0000,0.9921,0.0000,0.0000,0.0000
mal_convoy_8pct,1,0.5978,0.0000,0.9914,0.0000,0.0000,0.0000
mal_convoy_9pct,1,0.6214,0.0000,0.9914,0.0000,1.0000,0.0000
mal_convoy_10pct,1,0.5807,0.0000,0.9934,0.0000,0.0000,0.0000
