Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.4585,0.0382,0.9908,0.0006,0.9941,0.0006,4.80,4.83,48
baseline_notrust,10,0.4479,0.0228,0.9905,0.0005,0.9943,0.0005,4.50,3.63,45
extrinsics_5deg_trust,10,0.4517,0.0394,0.9905,0.0006,0.9870,0.0061,4.80,4.10,48
extrinsics_5deg_notrust,10,0.4407,0.0159,0.9908,0.0006,0.9755,0.0132,7.40,3.31,74
localization_50pct_trust,10,0.4462,0.0242,0.9904,0.0005,0.9789,0.0139,4.80,3.08,48
localization_50pct_notrust,10,0.4466,0.0180,0.9911,0.0006,0.9773,0.0146,6.80,4.05,68
mal_remove_50pct_trust,10,0.4562,0.0355,0.9908,0.0006,0.9941,0.0005,2.40,2.67,24
mal_remove_50pct_notrust,10,0.4465,0.0456,0.9907,0.0005,0.9944,0.0008,4.70,2.31,47
mal_add_50pct_trust,10,0.4537,0.0386,0.9907,0.0006,0.9942,0.0005,12.10,23.37,121
mal_add_50pct_notrust,10,0.4621,0.0309,0.9906,0.0004,0.9943,0.0004,4.30,3.59,43
mal_convoy_50pct_trust,9,0.4611,0.0366,0.9909,0.0004,0.9943,0.0004,6.33,6.93,57
mal_convoy_50pct_notrust,10,0.4601,0.0363,0.9908,0.0008,0.9943,0.0008,4.80,3.29,48
high_miss_50pct_trust,10,0.4506,0.0281,0.9905,0.0005,0.9942,0.0004,3.50,4.12,35
high_miss_50pct_notrust,10,0.4776,0.0240,0.9908,0.0004,0.9942,0.0004,4.00,2.40,40
lag_5steps_trust,10,0.4626,0.0327,0.9908,0.0006,0.9939,0.0007,3.90,4.51,39
lag_5steps_notrust,10,0.4715,0.0351,0.9907,0.0006,0.9941,0.0007,3.90,3.07,39
