Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.5063,0.0466,0.9906,0.0012,0.9918,0.0027,0.10,0.32,1
extrinsics_1deg,10,0.5047,0.0441,0.9903,0.0008,0.9917,0.0018,0.50,0.53,5
extrinsics_2deg,10,0.4964,0.0441,0.9909,0.0011,0.9917,0.0017,0.40,0.84,4
extrinsics_3deg,10,0.5295,0.0687,0.9905,0.0009,0.9909,0.0030,0.30,0.48,3
extrinsics_4deg,10,0.5159,0.0527,0.9904,0.0009,0.9919,0.0025,0.40,0.70,4
extrinsics_5deg,10,0.5212,0.0400,0.9903,0.0012,0.9902,0.0023,0.60,0.97,6
extrinsics_6deg,10,0.4891,0.0656,0.9900,0.0013,0.9921,0.0027,0.20,0.63,2
extrinsics_7deg,10,0.5128,0.0365,0.9906,0.0011,0.9920,0.0016,0.00,0.00,0
extrinsics_8deg,10,0.5167,0.0687,0.9907,0.0013,0.9920,0.0020,0.00,0.00,0
extrinsics_9deg,10,0.4884,0.0464,0.9908,0.0014,0.9924,0.0019,0.00,0.00,0
extrinsics_10deg,10,0.5028,0.0495,0.9907,0.0010,0.9923,0.0025,0.10,0.32,1
localization_10pct,10,0.4953,0.0549,0.9904,0.0017,0.9926,0.0026,0.30,0.67,3
localization_20pct,10,0.5121,0.0702,0.9904,0.0012,0.9916,0.0018,0.20,0.63,2
localization_30pct,10,0.5246,0.0352,0.9908,0.0008,0.9912,0.0021,0.00,0.00,0
localization_40pct,10,0.5140,0.0627,0.9902,0.0012,0.9917,0.0020,0.30,0.48,3
localization_50pct,10,0.5527,0.0574,0.9903,0.0008,0.9907,0.0017,0.60,0.84,6
localization_60pct,10,0.4884,0.0659,0.9910,0.0007,0.9919,0.0023,0.30,0.67,3
localization_70pct,10,0.5200,0.0626,0.9899,0.0009,0.9910,0.0026,0.10,0.32,1
localization_80pct,10,0.5093,0.0671,0.9906,0.0013,0.9911,0.0035,0.10,0.32,1
localization_90pct,10,0.5004,0.0626,0.9903,0.0013,0.9910,0.0023,0.10,0.32,1
localization_100pct,10,0.5107,0.0735,0.9908,0.0013,0.9908,0.0039,0.20,0.42,2
mal_remove_10pct,10,0.5200,0.0499,0.9908,0.0012,0.9923,0.0024,0.20,0.63,2
mal_remove_20pct,10,0.5172,0.0711,0.9903,0.0012,0.9913,0.0024,0.00,0.00,0
mal_remove_30pct,10,0.5342,0.0385,0.9904,0.0012,0.9915,0.0018,0.60,1.35,6
mal_remove_40pct,10,0.5067,0.0433,0.9904,0.0008,0.9920,0.0024,0.00,0.00,0
mal_remove_50pct,10,0.5361,0.0771,0.9904,0.0011,0.9907,0.0017,0.20,0.63,2
mal_remove_60pct,10,0.4728,0.0657,0.9901,0.0007,0.9931,0.0037,0.10,0.32,1
mal_remove_70pct,10,0.5059,0.0615,0.9899,0.0012,0.9915,0.0017,0.60,0.84,6
mal_remove_80pct,10,0.5141,0.0389,0.9899,0.0008,0.9915,0.0021,0.00,0.00,0
mal_remove_90pct,10,0.5139,0.0690,0.9900,0.0010,0.9926,0.0024,0.40,0.70,4
mal_remove_100pct,10,0.5149,0.0526,0.9900,0.0010,0.9907,0.0022,0.10,0.32,1
mal_add_10pct,10,0.5161,0.0504,0.9904,0.0012,0.9914,0.0016,0.70,1.64,7
mal_add_20pct,10,0.5204,0.0787,0.9901,0.0014,0.9924,0.0033,0.20,0.42,2
mal_add_30pct,10,0.5193,0.0558,0.9898,0.0010,0.9912,0.0018,0.30,0.67,3
mal_add_40pct,10,0.5253,0.0579,0.9901,0.0010,0.9910,0.0017,0.20,0.42,2
mal_add_50pct,10,0.5164,0.0656,0.9902,0.0010,0.9916,0.0023,1.20,2.20,12
mal_add_60pct,10,0.5140,0.0553,0.9906,0.0011,0.9917,0.0021,0.10,0.32,1
mal_add_70pct,10,0.5143,0.0424,0.9900,0.0007,0.9916,0.0028,0.70,1.34,7
mal_add_80pct,10,0.4895,0.0549,0.9901,0.0012,0.9918,0.0024,0.00,0.00,0
mal_add_90pct,10,0.5300,0.0569,0.9904,0.0010,0.9917,0.0018,0.10,0.32,1
mal_add_100pct,10,0.5316,0.0485,0.9898,0.0009,0.9916,0.0016,0.10,0.32,1
mal_convoy_10pct,10,0.5305,0.0720,0.9905,0.0013,0.9913,0.0024,0.50,1.08,5
mal_convoy_20pct,10,0.5110,0.0698,0.9902,0.0008,0.9913,0.0022,0.20,0.63,2
mal_convoy_30pct,10,0.4889,0.0428,0.9908,0.0010,0.9917,0.0020,0.20,0.63,2
mal_convoy_40pct,10,0.5355,0.0554,0.9904,0.0010,0.9905,0.0020,1.10,0.99,11
mal_convoy_50pct,10,0.5109,0.0609,0.9903,0.0011,0.9905,0.0019,0.00,0.00,0
mal_convoy_60pct,10,0.5132,0.0463,0.9901,0.0006,0.9912,0.0015,0.00,0.00,0
mal_convoy_70pct,10,0.5035,0.0694,0.9905,0.0011,0.9924,0.0027,0.50,0.97,5
mal_convoy_80pct,10,0.5012,0.0434,0.9909,0.0009,0.9920,0.0015,0.00,0.00,0
mal_convoy_90pct,10,0.5300,0.0528,0.9910,0.0014,0.9911,0.0024,0.60,1.07,6
mal_convoy_100pct,10,0.5165,0.0425,0.9909,0.0014,0.9918,0.0021,0.10,0.32,1
