Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,1,0.6483,0.0000,0.9949,0.0000,0.9954,0.0000,0.00,0.00,0
baseline_notrust,1,0.6994,0.0000,0.9951,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_trust,1,0.7157,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
extrinsics_5deg_notrust,1,0.6626,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
localization_50pct_trust,1,0.7232,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
localization_50pct_notrust,1,0.6752,0.0000,0.9969,0.0000,1.0000,0.0000,0.00,0.00,0
mal_remove_50pct_trust,1,0.6474,0.0000,0.9849,0.0000,0.0000,0.0000,0.00,0.00,0
mal_remove_50pct_notrust,1,0.6538,0.0000,0.9978,0.0000,0.9948,0.0000,0.00,0.00,0
mal_add_50pct_trust,1,0.7299,0.0000,1.0000,0.0000,0.0000,0.0000,0.00,0.00,0
mal_add_50pct_notrust,1,0.6108,0.0000,0.9954,0.0000,0.9900,0.0000,0.00,0.00,0
mal_convoy_50pct_trust,1,0.6081,0.0000,0.9965,0.0000,1.0000,0.0000,0.00,0.00,0
mal_convoy_50pct_notrust,1,0.6427,0.0000,0.9914,0.0000,0.0000,0.0000,0.00,0.00,0
high_miss_50pct_trust,1,0.6702,0.0000,0.9908,0.0000,0.0000,0.0000,0.00,0.00,0
high_miss_50pct_notrust,1,0.7059,0.0000,0.9965,0.0000,0.0000,0.0000,0.00,0.00,0
lag_5steps_trust,1,0.7185,0.0000,0.9967,0.0000,0.0000,0.0000,0.00,0.00,0
lag_5steps_notrust,1,0.7304,0.0000,0.9978,0.0000,0.0000,0.0000,0.00,0.00,0
