Metric,Value
config_name,mal_remove_30pct
run_id,5
total_steps,2500
recorded_steps,2000
wall_time_seconds,65.56823754310608
avg_cav_amota,0.9923530583450723
avg_cis_amota,0.9911088149268117
avg_global_amota,0.4968649059975428
cav_total_mse_violations_gt,13991
cav_total_mse_violations_sensor,13989
cav_total_ttc_violations_gt,3579
cav_total_ttc_violations_sensor,3142
cav_true_positives_mse,13984
cav_false_positives_mse,5
cav_false_negatives_mse,7
cav_true_positives_ttc,2797
cav_false_positives_ttc,345
cav_false_negatives_ttc,782
cav_amota,6337.1666305916315
cav_total_mse_violations_gt_av,888
cav_total_mse_violations_gt_non_av,13103
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,13989
cav_total_ttc_violations_gt_av,241
cav_total_ttc_violations_gt_non_av,3338
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,3142
cis_total_mse_violations_gt,7566
cis_total_mse_violations_sensor,7568
cis_total_ttc_violations_gt,593
cis_total_ttc_violations_sensor,592
cis_true_positives_mse,7564
cis_false_positives_mse,4
cis_false_negatives_mse,2
cis_true_positives_ttc,578
cis_false_positives_ttc,14
cis_false_negatives_ttc,15
cis_amota,1949.5110389610386
cis_total_mse_violations_gt_av,747
cis_total_mse_violations_gt_non_av,6819
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7568
cis_total_ttc_violations_gt_av,41
cis_total_ttc_violations_gt_non_av,552
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,592
global_total_mse_violations_gt,156851
global_total_mse_violations_sensor,192117
global_total_ttc_violations_gt,54403
global_total_ttc_violations_sensor,69016
global_true_positives_mse,150780
global_false_positives_mse,41337
global_false_negatives_mse,6071
global_true_positives_ttc,48743
global_false_positives_ttc,20273
global_false_negatives_ttc,5660
global_amota,981.3081893451471
global_total_mse_violations_gt_av,11716
global_total_mse_violations_gt_non_av,145135
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,192117
global_total_ttc_violations_gt_av,4184
global_total_ttc_violations_gt_non_av,50219
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,69016
