Metric,Value
config_name,baseline_notrust
run_id,4
total_steps,2500
recorded_steps,2000
wall_time_seconds,53.97394061088562
avg_cav_amota,0.9906361709335686
avg_cis_amota,0.9901973055260517
avg_global_amota,0.4934524556719309
cav_total_mse_violations_gt,9986
cav_total_mse_violations_sensor,9987
cav_total_ttc_violations_gt,2567
cav_total_ttc_violations_sensor,2483
cav_true_positives_mse,9982
cav_false_positives_mse,5
cav_false_negatives_mse,4
cav_true_positives_ttc,2216
cav_false_positives_ttc,267
cav_false_negatives_ttc,351
cav_amota,3464.2546897546895
cav_total_mse_violations_gt_av,1293
cav_total_mse_violations_gt_non_av,8693
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,9987
cav_total_ttc_violations_gt_av,255
cav_total_ttc_violations_gt_non_av,2312
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2483
cis_total_mse_violations_gt,7477
cis_total_mse_violations_sensor,7478
cis_total_ttc_violations_gt,595
cis_total_ttc_violations_sensor,600
cis_true_positives_mse,7474
cis_false_positives_mse,4
cis_false_negatives_mse,3
cis_true_positives_ttc,588
cis_false_positives_ttc,12
cis_false_negatives_ttc,7
cis_amota,1942.7671134421134
cis_total_mse_violations_gt_av,660
cis_total_mse_violations_gt_non_av,6817
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7478
cis_total_ttc_violations_gt_av,69
cis_total_ttc_violations_gt_non_av,526
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,600
global_total_mse_violations_gt,122208
global_total_mse_violations_sensor,150784
global_total_ttc_violations_gt,41763
global_total_ttc_violations_sensor,52994
global_true_positives_mse,116855
global_false_positives_mse,33929
global_false_negatives_mse,5353
global_true_positives_ttc,36311
global_false_positives_ttc,16683
global_false_negatives_ttc,5452
global_amota,876.8650137290213
global_total_mse_violations_gt_av,13120
global_total_mse_violations_gt_non_av,109088
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,150784
global_total_ttc_violations_gt_av,3591
global_total_ttc_violations_gt_non_av,38172
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,52994
