Metric,Value
config_name,localization_80pct_trust
run_id,3
total_steps,15000
recorded_steps,10000
wall_time_seconds,1472.8697197437286
avg_cav_amota,0.986009702790338
avg_cis_amota,0.9909481403611259
avg_global_amota,0.345496876731513
cav_total_mse_violations_gt,156985
cav_total_mse_violations_sensor,156944
cav_total_ttc_violations_gt,61072
cav_total_ttc_violations_sensor,45383
cav_true_positives_mse,156879
cav_false_positives_mse,65
cav_false_negatives_mse,106
cav_true_positives_ttc,39135
cav_false_positives_ttc,6248
cav_false_negatives_ttc,21937
cav_amota,61755.75970516445
cav_total_mse_violations_gt_av,12999
cav_total_mse_violations_gt_non_av,143986
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,156944
cav_total_ttc_violations_gt_av,4653
cav_total_ttc_violations_gt_non_av,56419
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,45383
cis_total_mse_violations_gt,51361
cis_total_mse_violations_sensor,51322
cis_total_ttc_violations_gt,3873
cis_total_ttc_violations_sensor,3878
cis_true_positives_mse,51295
cis_false_positives_mse,27
cis_false_negatives_mse,66
cis_true_positives_ttc,3800
cis_false_positives_ttc,78
cis_false_negatives_ttc,73
cis_amota,9897.590025926926
cis_total_mse_violations_gt_av,4175
cis_total_mse_violations_gt_non_av,47186
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,51322
cis_total_ttc_violations_gt_av,343
cis_total_ttc_violations_gt_non_av,3530
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,3878
global_total_mse_violations_gt,1927028
global_total_mse_violations_sensor,2290481
global_total_ttc_violations_gt,742667
global_total_ttc_violations_sensor,891481
global_true_positives_mse,1866850
global_false_positives_mse,423631
global_false_negatives_mse,60178
global_true_positives_ttc,673817
global_false_positives_ttc,217664
global_false_negatives_ttc,68850
global_amota,3368.9400450089834
global_total_mse_violations_gt_av,139422
global_total_mse_violations_gt_non_av,1787606
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,2290481
global_total_ttc_violations_gt_av,50645
global_total_ttc_violations_gt_non_av,692022
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,891481
