Metric,Value
config_name,mal_remove_1pct
run_id,7
total_steps,7000
recorded_steps,5000
wall_time_seconds,474.91388750076294
avg_cav_amota,0.9910925065384018
avg_cis_amota,0.9919101542447561
avg_global_amota,0.4090753358581901
cav_total_mse_violations_gt,75576
cav_total_mse_violations_sensor,75565
cav_total_ttc_violations_gt,26749
cav_total_ttc_violations_sensor,20025
cav_true_positives_mse,75548
cav_false_positives_mse,17
cav_false_negatives_mse,28
cav_true_positives_ttc,17226
cav_false_positives_ttc,2799
cav_false_negatives_ttc,9523
cav_amota,32284.838400488436
cis_total_mse_violations_gt,25337
cis_total_mse_violations_sensor,25331
cis_total_ttc_violations_gt,1803
cis_total_ttc_violations_sensor,1811
cis_true_positives_mse,25314
cis_false_positives_mse,17
cis_false_negatives_mse,23
cis_true_positives_ttc,1776
cis_false_positives_ttc,35
cis_false_negatives_ttc,27
cis_amota,4947.647849372844
global_total_mse_violations_gt,895490
global_total_mse_violations_sensor,1074399
global_total_ttc_violations_gt,325464
global_total_ttc_violations_sensor,399453
global_true_positives_mse,873587
global_false_positives_mse,200812
global_false_negatives_mse,21903
global_true_positives_ttc,295420
global_false_positives_ttc,104033
global_false_negatives_ttc,30044
global_amota,2031.8771932076304
