Metric,Value
config_name,baseline_notrust
run_id,4
total_steps,7000
recorded_steps,5000
wall_time_seconds,433.3513436317444
avg_cav_amota,0.9917443417264089
avg_cis_amota,0.9905786607240965
avg_global_amota,0.4465305693507076
cav_total_mse_violations_gt,69569
cav_total_mse_violations_sensor,69583
cav_total_ttc_violations_gt,21491
cav_total_ttc_violations_sensor,21120
cav_true_positives_mse,69555
cav_false_positives_mse,28
cav_false_negatives_mse,14
cav_true_positives_ttc,18810
cav_false_positives_ttc,2310
cav_false_negatives_ttc,2681
cav_amota,29041.24955877443
cav_total_mse_violations_gt_av,12047
cav_total_mse_violations_gt_non_av,57522
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,69583
cav_total_ttc_violations_gt_av,2482
cav_total_ttc_violations_gt_non_av,19009
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,21120
cis_total_mse_violations_gt,25045
cis_total_mse_violations_sensor,25047
cis_total_ttc_violations_gt,1799
cis_total_ttc_violations_sensor,1809
cis_true_positives_mse,25035
cis_false_positives_mse,12
cis_false_negatives_mse,10
cis_true_positives_ttc,1764
cis_false_positives_ttc,45
cis_false_negatives_ttc,35
cis_amota,4938.034623709621
cis_total_mse_violations_gt_av,2672
cis_total_mse_violations_gt_non_av,22373
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25047
cis_total_ttc_violations_gt_av,191
cis_total_ttc_violations_gt_non_av,1608
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1809
global_total_mse_violations_gt,991154
global_total_mse_violations_sensor,1187152
global_total_ttc_violations_gt,382203
global_total_ttc_violations_sensor,464509
global_true_positives_mse,962625
global_false_positives_mse,224527
global_false_negatives_mse,28529
global_true_positives_ttc,348871
global_false_positives_ttc,115638
global_false_negatives_ttc,33332
global_amota,2207.2006043005476
global_total_mse_violations_gt_av,146365
global_total_mse_violations_gt_non_av,844789
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1187152
global_total_ttc_violations_gt_av,55535
global_total_ttc_violations_gt_non_av,326668
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,464509
