Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.4975,0.0554,0.9899,0.0010,0.9917,0.0032,0.00,0.00,0
baseline_notrust,10,0.5155,0.0474,0.9893,0.0017,0.9915,0.0018,0.00,0.00,0
extrinsics_5deg_trust,10,0.5128,0.0407,0.9911,0.0006,0.9916,0.0015,0.30,0.48,3
extrinsics_5deg_notrust,10,0.5475,0.0591,0.9908,0.0011,0.9913,0.0022,0.60,0.97,6
localization_50pct_trust,10,0.5181,0.0575,0.9904,0.0012,0.9916,0.0022,0.30,0.67,3
localization_50pct_notrust,10,0.4927,0.0516,0.9911,0.0013,0.9921,0.0015,0.00,0.00,0
mal_remove_50pct_trust,10,0.5345,0.0743,0.9904,0.0011,0.9912,0.0019,0.30,0.67,3
mal_remove_50pct_notrust,10,0.5007,0.0448,0.9901,0.0010,0.9923,0.0016,0.00,0.00,0
mal_add_50pct_trust,10,0.5244,0.0363,0.9906,0.0012,0.9919,0.0015,0.40,0.97,4
mal_add_50pct_notrust,10,0.5282,0.0689,0.9909,0.0009,0.9914,0.0020,0.30,0.67,3
mal_convoy_50pct_trust,10,0.5552,0.0503,0.9903,0.0011,0.9912,0.0016,0.60,0.97,6
mal_convoy_50pct_notrust,10,0.5418,0.0758,0.9902,0.0013,0.9899,0.0030,0.90,1.10,9
