# CenterPoint nuScenes-trained, evaluated on V2V4Real (zero-shot transfer) - Polar binned error distributions (angle+distance)
# normal: param1=mu (0), param2=std, param3=mae (for GPEM covariance)
# constant for miss_detection: param1=miss_rate

error_type,dist_min,dist_max,angle_min,angle_max,distribution,param1,param2,param3
perpendicular,0.0,5.0,-80.0,-70.0,normal,0.0,0.14261157559048512,0.16636622137556265
height,0.0,5.0,-80.0,-70.0,normal,0.0,0.07882917884156465,0.12864045597411491
yaw,0.0,5.0,-80.0,-70.0,normal,0.0,0.06295047517838938,0.05052947678385859
width,0.0,5.0,-80.0,-70.0,normal,0.0,0.25551244264944867,0.30235258308616847
length,0.0,5.0,-80.0,-70.0,normal,0.0,0.11139339243805291,0.16568497870419477
box_height,0.0,5.0,-80.0,-70.0,normal,0.0,0.09561946608387965,0.10172840227951875
miss_detection,0.0,5.0,-70.0,-60.0,constant,0.49230769230769234,,
distal,0.0,5.0,-70.0,-60.0,normal,0.0,0.11475036559542205,0.12708629398105672
perpendicular,0.0,5.0,-70.0,-60.0,normal,0.0,0.16414324990165685,0.15613888926029193
height,0.0,5.0,-70.0,-60.0,normal,0.0,0.08776611470028814,0.10813078976640797
yaw,0.0,5.0,-70.0,-60.0,normal,0.0,0.04387529340732282,0.053743129198253255
width,0.0,5.0,-70.0,-60.0,normal,0.0,0.2359592910059193,0.31536458237002596
length,0.0,5.0,-70.0,-60.0,normal,0.0,0.11350495909420137,0.15460760424835512
box_height,0.0,5.0,-70.0,-60.0,normal,0.0,0.09910927962152558,0.08504140015804407
miss_detection,0.0,5.0,-60.0,-50.0,constant,0.20987654320987653,,
distal,0.0,5.0,-60.0,-50.0,normal,0.0,0.13896202561843532,0.12984353399688056
perpendicular,0.0,5.0,-60.0,-50.0,normal,0.0,0.1414773809446469,0.1502938109509889
height,0.0,5.0,-60.0,-50.0,normal,0.0,0.07931042661750073,0.12164882756769657
yaw,0.0,5.0,-60.0,-50.0,normal,0.0,0.038208551422339754,0.04723494949831519
width,0.0,5.0,-60.0,-50.0,normal,0.0,0.2807233205300705,0.30568260326981544
length,0.0,5.0,-60.0,-50.0,normal,0.0,0.1423765623564666,0.16141387168318033
box_height,0.0,5.0,-60.0,-50.0,normal,0.0,0.12499686074380553,0.11915069073438644
miss_detection,0.0,5.0,-50.0,-40.0,constant,0.20909090909090908,,
distal,0.0,5.0,-50.0,-40.0,normal,0.0,0.11419797556496616,0.16898982464838014
perpendicular,0.0,5.0,-50.0,-40.0,normal,0.0,0.1327413067007047,0.18963310560158508
height,0.0,5.0,-50.0,-40.0,normal,0.0,0.09218548737974766,0.10714396457562501
yaw,0.0,5.0,-50.0,-40.0,normal,0.0,0.047115108380469777,0.04143740673281103
width,0.0,5.0,-50.0,-40.0,normal,0.0,0.36531079010144685,0.4402494677181902
length,0.0,5.0,-50.0,-40.0,normal,0.0,0.13008946861355716,0.17402313495504446
box_height,0.0,5.0,-50.0,-40.0,normal,0.0,0.1589675462887602,0.18121855971456943
miss_detection,0.0,5.0,-40.0,-30.0,constant,0.16129032258064516,,
distal,0.0,5.0,-40.0,-30.0,normal,0.0,0.17344250803216316,0.2663429490035857
perpendicular,0.0,5.0,-40.0,-30.0,normal,0.0,0.14159977158379833,0.229513081599391
height,0.0,5.0,-40.0,-30.0,normal,0.0,0.10343879696374317,0.11042549289189853
yaw,0.0,5.0,-40.0,-30.0,normal,0.0,0.027288873630442186,0.03781932094551744
width,0.0,5.0,-40.0,-30.0,normal,0.0,0.39626167766240356,0.6058059564003577
length,0.0,5.0,-40.0,-30.0,normal,0.0,0.11674645414224366,0.1694615758382357
box_height,0.0,5.0,-40.0,-30.0,normal,0.0,0.1889321699555185,0.2572532112781818
miss_detection,0.0,5.0,30.0,40.0,constant,0.0,,
distal,0.0,5.0,30.0,40.0,normal,0.0,0.0806320397900519,0.16338867954498165
perpendicular,0.0,5.0,30.0,40.0,normal,0.0,0.020566133682840108,0.02625263947943558
height,0.0,5.0,30.0,40.0,normal,0.0,0.045705965373623626,0.21157559156417846
yaw,0.0,5.0,30.0,40.0,normal,0.0,0.024681224942487805,0.03983501533614557
width,0.0,5.0,30.0,40.0,normal,0.0,0.26423957543147786,0.35956621170043945
length,0.0,5.0,30.0,40.0,normal,0.0,0.018224246400643667,0.1445491075515747
box_height,0.0,5.0,30.0,40.0,normal,0.0,0.11279853722659204,0.10699288845062256
miss_detection,0.0,5.0,40.0,50.0,constant,0.05813953488372093,,
distal,0.0,5.0,40.0,50.0,normal,0.0,0.1087643663759863,0.15568635673536974
perpendicular,0.0,5.0,40.0,50.0,normal,0.0,0.0700960739132485,0.1086251410373245
height,0.0,5.0,40.0,50.0,normal,0.0,0.07937247137354599,0.1313243751172666
yaw,0.0,5.0,40.0,50.0,normal,0.0,0.17161369312639846,0.05573630033380052
width,0.0,5.0,40.0,50.0,normal,0.0,0.3630680640181694,0.35932779164961826
length,0.0,5.0,40.0,50.0,normal,0.0,0.2773378169601475,0.18230730368767256
box_height,0.0,5.0,40.0,50.0,normal,0.0,0.15884575038413531,0.15091405091462312
miss_detection,0.0,5.0,50.0,60.0,constant,0.020161290322580645,,
distal,0.0,5.0,50.0,60.0,normal,0.0,0.08993529472109948,0.14790289170177404
perpendicular,0.0,5.0,50.0,60.0,normal,0.0,0.09692672552581122,0.14356936601205855
height,0.0,5.0,50.0,60.0,normal,0.0,0.07048288878849031,0.10881943123821368
yaw,0.0,5.0,50.0,60.0,normal,0.0,0.05863112584258414,0.06638390135876285
width,0.0,5.0,50.0,60.0,normal,0.0,0.22979686261378787,0.3103013097504039
length,0.0,5.0,50.0,60.0,normal,0.0,0.09773062406870076,0.15488876285866945
box_height,0.0,5.0,50.0,60.0,normal,0.0,0.21859534638036252,0.1996071368087957
miss_detection,0.0,5.0,60.0,70.0,constant,0.0330188679245283,,
distal,0.0,5.0,60.0,70.0,normal,0.0,0.09216032958435702,0.12724900974032127
perpendicular,0.0,5.0,60.0,70.0,normal,0.0,0.10617351716114741,0.146237822444813
height,0.0,5.0,60.0,70.0,normal,0.0,0.06460380418861988,0.13746153959413854
yaw,0.0,5.0,60.0,70.0,normal,0.0,0.11207621730510585,0.048626153490681105
width,0.0,5.0,60.0,70.0,normal,0.0,0.286150391309031,0.3099382301656211
length,0.0,5.0,60.0,70.0,normal,0.0,0.19759863118938367,0.16762491493690304
box_height,0.0,5.0,60.0,70.0,normal,0.0,0.1019737739957829,0.09813017961455554
miss_detection,0.0,5.0,70.0,80.0,constant,0.022535211267605635,,
distal,0.0,5.0,70.0,80.0,normal,0.0,0.07233425803755672,0.14467908282000305
perpendicular,0.0,5.0,70.0,80.0,normal,0.0,0.19730328862671634,0.32950815933825106
height,0.0,5.0,70.0,80.0,normal,0.0,0.05505382239844638,0.108305535330209
yaw,0.0,5.0,70.0,80.0,normal,0.0,0.0367184987701387,0.03654906494298886
width,0.0,5.0,70.0,80.0,normal,0.0,0.256960515185076,0.47761968233399843
length,0.0,5.0,70.0,80.0,normal,0.0,0.08990079251968616,0.14553735682187918
box_height,0.0,5.0,70.0,80.0,normal,0.0,0.06639865622826548,0.09770998281429412
miss_detection,0.0,5.0,80.0,90.0,constant,0.008456659619450317,,
distal,0.0,5.0,80.0,90.0,normal,0.0,0.0655320437848542,0.10679769825446528
perpendicular,0.0,5.0,80.0,90.0,normal,0.0,0.08113876308541927,0.13137639894251218
height,0.0,5.0,80.0,90.0,normal,0.0,0.04448436887278854,0.09282037793700375
yaw,0.0,5.0,80.0,90.0,normal,0.0,0.027225976277100866,0.04709024880681917
width,0.0,5.0,80.0,90.0,normal,0.0,0.2848360089984913,0.320032462636545
length,0.0,5.0,80.0,90.0,normal,0.0,0.25242598546421424,0.26112037935236626
box_height,0.0,5.0,80.0,90.0,normal,0.0,0.10734253986375165,0.16289554412431045
miss_detection,0.0,5.0,90.0,100.0,constant,0.2830687830687831,,
distal,0.0,5.0,90.0,100.0,normal,0.0,0.059705580421305735,0.1296307686480508
perpendicular,0.0,5.0,90.0,100.0,normal,0.0,0.14499193652369405,0.23780282541976294
height,0.0,5.0,90.0,100.0,normal,0.0,0.05346955630163784,0.10077289175723311
yaw,0.0,5.0,90.0,100.0,normal,0.0,0.02616994432496734,0.05322628984853844
width,0.0,5.0,90.0,100.0,normal,0.0,0.24405898792670488,0.21561020062858327
length,0.0,5.0,90.0,100.0,normal,0.0,0.08942677940054403,0.21622736735537484
box_height,0.0,5.0,90.0,100.0,normal,0.0,0.06414162679910415,0.0981576051219363
miss_detection,0.0,5.0,100.0,110.0,constant,0.46735395189003437,,
distal,0.0,5.0,100.0,110.0,normal,0.0,0.08000205100558185,0.11562365349898883
perpendicular,0.0,5.0,100.0,110.0,normal,0.0,0.1999811715328965,0.23662800240392043
height,0.0,5.0,100.0,110.0,normal,0.0,0.06363360882930905,0.10821037600117345
yaw,0.0,5.0,100.0,110.0,normal,0.0,0.12220058144393738,0.048828335007712144
width,0.0,5.0,100.0,110.0,normal,0.0,0.3122716901544264,0.3459630512422131
length,0.0,5.0,100.0,110.0,normal,0.0,0.2310473387464562,0.15680345258405132
box_height,0.0,5.0,100.0,110.0,normal,0.0,0.13024761143233238,0.12230942018570438
miss_detection,0.0,5.0,110.0,120.0,constant,0.0782312925170068,,
distal,0.0,5.0,110.0,120.0,normal,0.0,0.06453810346743068,0.111157138067614
perpendicular,0.0,5.0,110.0,120.0,normal,0.0,0.11482473899034705,0.17984551851456423
height,0.0,5.0,110.0,120.0,normal,0.0,0.053031858274303914,0.09282157715836134
yaw,0.0,5.0,110.0,120.0,normal,0.0,0.03442648535075152,0.0657277258972538
width,0.0,5.0,110.0,120.0,normal,0.0,0.2578579534648484,0.21424194279632006
length,0.0,5.0,110.0,120.0,normal,0.0,0.08930767618839543,0.1729007277541495
box_height,0.0,5.0,110.0,120.0,normal,0.0,0.12477840595775741,0.1184843030802878
miss_detection,0.0,5.0,120.0,130.0,constant,0.13917525773195877,,
distal,0.0,5.0,120.0,130.0,normal,0.0,0.10418325373726224,0.13245579734603835
perpendicular,0.0,5.0,120.0,130.0,normal,0.0,0.12748058905041043,0.13588578165168416
height,0.0,5.0,120.0,130.0,normal,0.0,0.05424887579486247,0.10576050117344199
yaw,0.0,5.0,120.0,130.0,normal,0.0,0.12008333976504286,0.058843408578985255
width,0.0,5.0,120.0,130.0,normal,0.0,0.2769546911803689,0.3354972979265773
length,0.0,5.0,120.0,130.0,normal,0.0,0.25861082490969295,0.17170874372927727
box_height,0.0,5.0,120.0,130.0,normal,0.0,0.18831721501502566,0.15908466484732256
miss_detection,0.0,5.0,130.0,140.0,constant,0.09941520467836257,,
distal,0.0,5.0,130.0,140.0,normal,0.0,0.12431689121559328,0.14439523523463577
perpendicular,0.0,5.0,130.0,140.0,normal,0.0,0.11539302315584614,0.139098126837686
height,0.0,5.0,130.0,140.0,normal,0.0,0.07307759040678251,0.11535370465996977
yaw,0.0,5.0,130.0,140.0,normal,0.0,0.12822349714084186,0.05400798476359123
width,0.0,5.0,130.0,140.0,normal,0.0,0.2999917649522626,0.30308410099574495
length,0.0,5.0,130.0,140.0,normal,0.0,0.24259600026130684,0.14796998284079813
box_height,0.0,5.0,130.0,140.0,normal,0.0,0.18229160303714934,0.20722117594310216
miss_detection,0.0,5.0,140.0,150.0,constant,0.0,,
distal,0.0,5.0,140.0,150.0,normal,0.0,0.04183868866514228,0.1222946779826525
perpendicular,0.0,5.0,140.0,150.0,normal,0.0,0.08051135783601109,0.2925383693762072
height,0.0,5.0,140.0,150.0,normal,0.0,0.06574898601168505,0.06274917596828437
yaw,0.0,5.0,140.0,150.0,normal,0.0,0.014885137461067488,0.027414401230574124
width,0.0,5.0,140.0,150.0,normal,0.0,0.08126895154169285,0.29312761243945823
length,0.0,5.0,140.0,150.0,normal,0.0,0.05622368314952158,0.0487355843275607
box_height,0.0,5.0,140.0,150.0,normal,0.0,0.07590674993990888,0.19159565999836264
miss_detection,5.0,10.0,-180.0,-170.0,constant,0.006430868167202572,,
distal,5.0,10.0,-180.0,-170.0,normal,0.0,0.15766142045589127,0.2276660885298747
perpendicular,5.0,10.0,-180.0,-170.0,normal,0.0,0.0424725302107556,0.04887813061314398
height,5.0,10.0,-180.0,-170.0,normal,0.0,0.07394557559877694,0.09550110127051782
yaw,5.0,10.0,-180.0,-170.0,normal,0.0,0.02510881204718071,0.02874383953805664
width,5.0,10.0,-180.0,-170.0,normal,0.0,0.28130602927083936,0.3891915383297042
length,5.0,10.0,-180.0,-170.0,normal,0.0,0.08630674727103033,0.19122347939747436
box_height,5.0,10.0,-180.0,-170.0,normal,0.0,0.1721033653339224,0.2030199147791869
miss_detection,5.0,10.0,-170.0,-160.0,constant,0.0,,
