Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std)
baseline,1,0.5459,0.0000,0.9954,0.0000,0.9950,0.0000
extrinsics_1pct,1,0.5632,0.0000,0.9976,0.0000,0.9959,0.0000
extrinsics_2pct,1,0.5175,0.0000,0.9909,0.0000,1.0000,0.0000
extrinsics_3pct,1,0.6260,0.0000,0.9919,0.0000,0.9894,0.0000
extrinsics_4pct,1,0.6029,0.0000,0.9935,0.0000,0.9943,0.0000
extrinsics_5pct,1,0.6261,0.0000,0.9966,0.0000,0.9926,0.0000
extrinsics_6pct,1,0.5705,0.0000,0.9929,0.0000,0.9960,0.0000
extrinsics_7pct,1,0.6178,0.0000,0.9887,0.0000,0.0000,0.0000
extrinsics_8pct,1,0.6633,0.0000,0.9928,0.0000,0.9904,0.0000
extrinsics_9pct,1,0.6421,0.0000,0.9990,0.0000,0.9848,0.0000
extrinsics_10pct,1,0.5966,0.0000,0.9878,0.0000,0.0000,0.0000
localization_1pct,1,0.6528,0.0000,0.9930,0.0000,0.9982,0.0000
localization_2pct,1,0.5721,0.0000,0.9932,0.0000,1.0000,0.0000
localization_3pct,1,0.6012,0.0000,0.9908,0.0000,0.0000,0.0000
localization_4pct,1,0.6790,0.0000,0.9909,0.0000,0.9958,0.0000
localization_5pct,1,0.6555,0.0000,0.9959,0.0000,0.9883,0.0000
localization_6pct,1,0.6043,0.0000,0.9960,0.0000,0.0000,0.0000
localization_7pct,1,0.6183,0.0000,0.9958,0.0000,0.0000,0.0000
localization_8pct,1,0.6816,0.0000,0.9869,0.0000,0.9905,0.0000
localization_9pct,1,0.6487,0.0000,0.9941,0.0000,1.0000,0.0000
localization_10pct,1,0.6136,0.0000,0.9918,0.0000,0.9982,0.0000
mal_remove_1pct,1,0.5302,0.0000,0.9938,0.0000,0.9953,0.0000
mal_remove_2pct,1,0.6426,0.0000,0.9906,0.0000,0.9947,0.0000
mal_remove_3pct,1,0.6027,0.0000,0.9960,0.0000,0.0000,0.0000
mal_remove_4pct,1,0.6296,0.0000,0.9953,0.0000,0.0000,0.0000
mal_remove_5pct,1,0.6455,0.0000,0.9924,0.0000,0.9891,0.0000
mal_remove_6pct,1,0.6060,0.0000,0.9925,0.0000,0.0000,0.0000
mal_remove_7pct,1,0.6572,0.0000,0.9959,0.0000,0.9940,0.0000
mal_remove_8pct,1,0.6105,0.0000,0.9927,0.0000,0.0000,0.0000
mal_remove_9pct,1,0.6049,0.0000,0.9883,0.0000,0.0000,0.0000
mal_remove_10pct,1,0.5366,0.0000,0.9939,0.0000,0.9923,0.0000
mal_add_1pct,1,0.6665,0.0000,0.9901,0.0000,0.9913,0.0000
mal_add_2pct,1,0.5383,0.0000,0.9911,0.0000,0.9961,0.0000
mal_add_3pct,1,0.6104,0.0000,0.9922,0.0000,0.0000,0.0000
mal_add_4pct,1,0.5421,0.0000,0.9925,0.0000,0.9980,0.0000
mal_add_5pct,1,0.5974,0.0000,0.9878,0.0000,0.0000,0.0000
mal_add_6pct,1,0.6169,0.0000,0.9964,0.0000,0.0000,0.0000
mal_add_7pct,1,0.5991,0.0000,0.9981,0.0000,0.0000,0.0000
mal_add_8pct,1,0.5217,0.0000,0.9949,0.0000,1.0000,0.0000
mal_add_9pct,1,0.6083,0.0000,0.9980,0.0000,0.0000,0.0000
mal_add_10pct,1,0.6441,0.0000,0.9954,0.0000,0.9961,0.0000
mal_convoy_1pct,1,0.5985,0.0000,0.9938,0.0000,0.0000,0.0000
mal_convoy_2pct,1,0.5662,0.0000,1.0000,0.0000,0.9897,0.0000
mal_convoy_3pct,1,0.5351,0.0000,0.9927,0.0000,0.9970,0.0000
mal_convoy_4pct,1,0.6268,0.0000,0.9949,0.0000,0.0000,0.0000
mal_convoy_5pct,1,0.6353,0.0000,1.0000,0.0000,0.9968,0.0000
mal_convoy_6pct,1,0.6192,0.0000,0.9955,0.0000,0.0000,0.0000
mal_convoy_7pct,1,0.5411,0.0000,0.9912,0.0000,0.9945,0.0000
mal_convoy_8pct,1,0.5749,0.0000,0.9918,0.0000,0.9966,0.0000
mal_convoy_9pct,1,0.6446,0.0000,0.9950,0.0000,0.9895,0.0000
mal_convoy_10pct,1,0.5889,0.0000,0.9970,0.0000,0.9934,0.0000
