Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,10,0.4395,0.0326,0.9911,0.0006,0.9909,0.0009,2.80,1.93,28
baseline_notrust,10,0.4451,0.0261,0.9908,0.0005,0.9910,0.0005,2.50,2.12,25
extrinsics_5deg_trust,10,0.4581,0.0363,0.9913,0.0006,0.9912,0.0008,1.40,1.35,14
extrinsics_5deg_notrust,10,0.4539,0.0276,0.9908,0.0005,0.9910,0.0005,1.80,1.62,18
localization_50pct_trust,10,0.4580,0.0348,0.9905,0.0007,0.9906,0.0005,2.10,2.28,21
localization_50pct_notrust,10,0.4594,0.0440,0.9909,0.0003,0.9908,0.0010,1.70,1.57,17
mal_remove_50pct_trust,10,0.4458,0.0327,0.9907,0.0005,0.9909,0.0008,0.90,0.99,9
mal_remove_50pct_notrust,10,0.4571,0.0295,0.9907,0.0008,0.9909,0.0009,1.20,1.87,12
mal_add_50pct_trust,10,0.4410,0.0356,0.9907,0.0006,0.9906,0.0005,1.30,1.25,13
mal_add_50pct_notrust,10,0.4641,0.0213,0.9907,0.0007,0.9909,0.0007,1.90,1.79,19
mal_convoy_50pct_trust,10,0.4430,0.0230,0.9907,0.0006,0.9912,0.0010,1.30,1.83,13
mal_convoy_50pct_notrust,10,0.4538,0.0226,0.9909,0.0006,0.9910,0.0010,1.60,1.17,16
