Metric,Value
config_name,mal_remove_50pct_trust
run_id,7
total_steps,7000
recorded_steps,5000
wall_time_seconds,582.8061435222626
avg_cav_amota,0.9947680146003526
avg_cis_amota,0.9899306493995875
avg_global_amota,0.4207536493478458
cav_total_mse_violations_gt,79634
cav_total_mse_violations_sensor,79631
cav_total_ttc_violations_gt,28550
cav_total_ttc_violations_sensor,21533
cav_true_positives_mse,79610
cav_false_positives_mse,21
cav_false_negatives_mse,24
cav_true_positives_ttc,18736
cav_false_positives_ttc,2797
cav_false_negatives_ttc,9814
cav_amota,33018.339940614904
cav_total_mse_violations_gt_av,14165
cav_total_mse_violations_gt_non_av,65469
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,79631
cav_total_ttc_violations_gt_av,6448
cav_total_ttc_violations_gt_non_av,22102
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,21533
cis_total_mse_violations_gt,24745
cis_total_mse_violations_sensor,24741
cis_total_ttc_violations_gt,1830
cis_total_ttc_violations_sensor,1851
cis_true_positives_mse,24723
cis_false_positives_mse,18
cis_false_negatives_mse,22
cis_true_positives_ttc,1798
cis_false_positives_ttc,53
cis_false_negatives_ttc,32
cis_amota,4939.7539405039415
cis_total_mse_violations_gt_av,2277
cis_total_mse_violations_gt_non_av,22468
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,24741
cis_total_ttc_violations_gt_av,154
cis_total_ttc_violations_gt_non_av,1676
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1851
global_total_mse_violations_gt,947488
global_total_mse_violations_sensor,1143674
global_total_ttc_violations_gt,385943
global_total_ttc_violations_sensor,470380
global_true_positives_mse,926247
global_false_positives_mse,217427
global_false_negatives_mse,21241
global_true_positives_ttc,353016
global_false_positives_ttc,117364
global_false_negatives_ttc,32927
global_amota,2094.9324201029244
global_total_mse_violations_gt_av,161927
global_total_mse_violations_gt_non_av,785561
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,1143674
global_total_ttc_violations_gt_av,72727
global_total_ttc_violations_gt_non_av,313216
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,470380
