Metric,Value
config_name,extrinsics_5deg
run_id,3
total_steps,2500
recorded_steps,2000
wall_time_seconds,46.169612884521484
avg_cav_amota,0.9935688441260146
avg_cis_amota,0.9912519790373675
avg_global_amota,0.5198810576871313
cav_total_mse_violations_gt,8367
cav_total_mse_violations_sensor,8374
cav_total_ttc_violations_gt,2398
cav_total_ttc_violations_sensor,2358
cav_true_positives_mse,8366
cav_false_positives_mse,8
cav_false_negatives_mse,1
cav_true_positives_ttc,2259
cav_false_positives_ttc,99
cav_false_negatives_ttc,139
cav_amota,3076.0891414141415
cav_total_mse_violations_gt_av,425
cav_total_mse_violations_gt_non_av,7942
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,8374
cav_total_ttc_violations_gt_av,234
cav_total_ttc_violations_gt_non_av,2164
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2358
cis_total_mse_violations_gt,7462
cis_total_mse_violations_sensor,7461
cis_total_ttc_violations_gt,608
cis_total_ttc_violations_sensor,607
cis_true_positives_mse,7458
cis_false_positives_mse,3
cis_false_negatives_mse,4
cis_true_positives_ttc,596
cis_false_positives_ttc,11
cis_false_negatives_ttc,12
cis_amota,1953.7576506826513
cis_total_mse_violations_gt_av,637
cis_total_mse_violations_gt_non_av,6825
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7461
cis_total_ttc_violations_gt_av,59
cis_total_ttc_violations_gt_non_av,549
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,607
global_total_mse_violations_gt,68979
global_total_mse_violations_sensor,87434
global_total_ttc_violations_gt,39578
global_total_ttc_violations_sensor,48904
global_true_positives_mse,65773
global_false_positives_mse,21661
global_false_negatives_mse,3206
global_true_positives_ttc,36004
global_false_positives_ttc,12900
global_false_negatives_ttc,3574
global_amota,969.0582915288128
global_total_mse_violations_gt_av,5016
global_total_mse_violations_gt_non_av,63963
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,87434
global_total_ttc_violations_gt_av,2791
global_total_ttc_violations_gt_non_av,36787
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,48904
