Metric,Value
config_name,mal_remove_20pct
run_id,4
total_steps,2500
recorded_steps,2000
wall_time_seconds,40.647783279418945
avg_cav_amota,0.9894628519628521
avg_cis_amota,0.9910256844946085
avg_global_amota,0.5635125543450301
cav_total_mse_violations_gt,7469
cav_total_mse_violations_sensor,7465
cav_total_ttc_violations_gt,1558
cav_total_ttc_violations_sensor,1552
cav_true_positives_mse,7461
cav_false_positives_mse,4
cav_false_negatives_mse,8
cav_true_positives_ttc,1429
cav_false_positives_ttc,123
cav_false_negatives_ttc,129
cav_amota,2238.1649711399714
cav_total_mse_violations_gt_av,385
cav_total_mse_violations_gt_non_av,7084
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,7465
cav_total_ttc_violations_gt_av,33
cav_total_ttc_violations_gt_non_av,1525
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,1552
cis_total_mse_violations_gt,7460
cis_total_mse_violations_sensor,7460
cis_total_ttc_violations_gt,577
cis_total_ttc_violations_sensor,577
cis_true_positives_mse,7457
cis_false_positives_mse,3
cis_false_negatives_mse,3
cis_true_positives_ttc,567
cis_false_positives_ttc,10
cis_false_negatives_ttc,10
cis_amota,1961.2398296148301
cis_total_mse_violations_gt_av,674
cis_total_mse_violations_gt_non_av,6786
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7460
cis_total_ttc_violations_gt_av,8
cis_total_ttc_violations_gt_non_av,569
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,577
global_total_mse_violations_gt,62701
global_total_mse_violations_sensor,80405
global_total_ttc_violations_gt,20845
global_total_ttc_violations_sensor,26998
global_true_positives_mse,60699
global_false_positives_mse,19706
global_false_negatives_mse,2002
global_true_positives_ttc,18559
global_false_positives_ttc,8439
global_false_negatives_ttc,2286
global_amota,1052.6414515165163
global_total_mse_violations_gt_av,4855
global_total_mse_violations_gt_non_av,57846
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,80405
global_total_ttc_violations_gt_av,1355
global_total_ttc_violations_gt_non_av,19490
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,26998
