Config,Runs,Global AMOTA (mean),Global AMOTA (std),CIS AMOTA (mean),CIS AMOTA (std),CAV AMOTA (mean),CAV AMOTA (std),Anomalies (mean),Anomalies (std),Total Anomalies
baseline,3,0.4870,0.0957,0.9898,0.0016,0.9971,0.0051,0.33,0.58,1
baseline_notrust,3,0.4845,0.0483,0.9917,0.0007,0.9959,0.0036,0.00,0.00,0
extrinsics_5deg_trust,3,0.5718,0.0080,0.9901,0.0008,0.9880,0.0043,1.33,1.15,4
extrinsics_5deg_notrust,3,0.5629,0.0624,0.9895,0.0012,0.9886,0.0025,0.00,0.00,0
localization_50pct_trust,3,0.4962,0.0316,0.9903,0.0019,0.9922,0.0044,0.00,0.00,0
localization_50pct_notrust,3,0.5834,0.0416,0.9904,0.0018,0.9488,0.0672,1.00,1.73,3
mal_remove_50pct_trust,3,0.5697,0.0370,0.9917,0.0014,0.9895,0.0037,0.67,1.15,2
mal_remove_50pct_notrust,3,0.5666,0.0340,0.9885,0.0006,0.9899,0.0038,0.33,0.58,1
mal_add_50pct_trust,3,0.5369,0.0769,0.9889,0.0023,0.9921,0.0038,0.00,0.00,0
mal_add_50pct_notrust,3,0.5380,0.0334,0.9890,0.0012,0.9925,0.0020,0.00,0.00,0
mal_convoy_50pct_trust,3,0.5012,0.0200,0.9912,0.0011,0.9936,0.0036,0.00,0.00,0
mal_convoy_50pct_notrust,3,0.5878,0.0327,0.9910,0.0005,0.9896,0.0007,1.00,1.00,3
