Metric,Value
config_name,mal_remove_30pct
run_id,5
total_steps,2500
recorded_steps,2000
wall_time_seconds,60.149983644485474
avg_cav_amota,0.9925666679219075
avg_cis_amota,0.989269672834605
avg_global_amota,0.5106363738478593
cav_total_mse_violations_gt,11203
cav_total_mse_violations_sensor,11202
cav_total_ttc_violations_gt,2871
cav_total_ttc_violations_sensor,2604
cav_true_positives_mse,11197
cav_false_positives_mse,5
cav_false_negatives_mse,6
cav_true_positives_ttc,2430
cav_false_positives_ttc,174
cav_false_negatives_ttc,441
cav_amota,5029.335306360305
cav_total_mse_violations_gt_av,1479
cav_total_mse_violations_gt_non_av,9724
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,11202
cav_total_ttc_violations_gt_av,200
cav_total_ttc_violations_gt_non_av,2671
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,2604
cis_total_mse_violations_gt,7357
cis_total_mse_violations_sensor,7355
cis_total_ttc_violations_gt,620
cis_total_ttc_violations_sensor,612
cis_true_positives_mse,7352
cis_false_positives_mse,3
cis_false_negatives_mse,5
cis_true_positives_ttc,604
cis_false_positives_ttc,8
cis_false_negatives_ttc,16
cis_amota,1957.7646825396832
cis_total_mse_violations_gt_av,774
cis_total_mse_violations_gt_non_av,6583
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,7355
cis_total_ttc_violations_gt_av,41
cis_total_ttc_violations_gt_non_av,579
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,612
global_total_mse_violations_gt,104946
global_total_mse_violations_sensor,130201
global_total_ttc_violations_gt,42037
global_total_ttc_violations_sensor,53244
global_true_positives_mse,100362
global_false_positives_mse,29839
global_false_negatives_mse,4584
global_true_positives_ttc,37036
global_false_positives_ttc,16208
global_false_negatives_ttc,5001
global_amota,975.3154740494114
global_total_mse_violations_gt_av,14521
global_total_mse_violations_gt_non_av,90425
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,130201
global_total_ttc_violations_gt_av,6578
global_total_ttc_violations_gt_non_av,35459
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,53244
