Metric,Value
config_name,mal_remove_50pct_notrust
run_id,9
total_steps,7000
recorded_steps,5000
wall_time_seconds,370.1424877643585
avg_cav_amota,0.9939700924630359
avg_cis_amota,0.990982810878944
avg_global_amota,0.4431609942725328
cav_total_mse_violations_gt,56109
cav_total_mse_violations_sensor,56104
cav_total_ttc_violations_gt,16185
cav_total_ttc_violations_sensor,13657
cav_true_positives_mse,56089
cav_false_positives_mse,15
cav_false_negatives_mse,20
cav_true_positives_ttc,11690
cav_false_positives_ttc,1967
cav_false_negatives_ttc,4495
cav_amota,21764.963114663096
cav_total_mse_violations_gt_av,6978
cav_total_mse_violations_gt_non_av,49131
cav_total_mse_violations_sensor_av,0
cav_total_mse_violations_sensor_non_av,56104
cav_total_ttc_violations_gt_av,1346
cav_total_ttc_violations_gt_non_av,14839
cav_total_ttc_violations_sensor_av,0
cav_total_ttc_violations_sensor_non_av,13657
cis_total_mse_violations_gt,25309
cis_total_mse_violations_sensor,25304
cis_total_ttc_violations_gt,1836
cis_total_ttc_violations_sensor,1849
cis_true_positives_mse,25291
cis_false_positives_mse,13
cis_false_negatives_mse,18
cis_true_positives_ttc,1804
cis_false_positives_ttc,45
cis_false_negatives_ttc,32
cis_amota,4943.022260664173
cis_total_mse_violations_gt_av,2407
cis_total_mse_violations_gt_non_av,22902
cis_total_mse_violations_sensor_av,0
cis_total_mse_violations_sensor_non_av,25304
cis_total_ttc_violations_gt_av,122
cis_total_ttc_violations_gt_non_av,1714
cis_total_ttc_violations_sensor_av,0
cis_total_ttc_violations_sensor_non_av,1849
global_total_mse_violations_gt,545587
global_total_mse_violations_sensor,662244
global_total_ttc_violations_gt,197998
global_total_ttc_violations_sensor,253033
global_true_positives_mse,530048
global_false_positives_mse,132196
global_false_negatives_mse,15539
global_true_positives_ttc,181747
global_false_positives_ttc,71286
global_false_negatives_ttc,16251
global_amota,2189.215311706312
global_total_mse_violations_gt_av,50685
global_total_mse_violations_gt_non_av,494902
global_total_mse_violations_sensor_av,0
global_total_mse_violations_sensor_non_av,662244
global_total_ttc_violations_gt_av,13530
global_total_ttc_violations_gt_non_av,184468
global_total_ttc_violations_sensor_av,0
global_total_ttc_violations_sensor_non_av,253033
